Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta,URL_Video
2026,01,22319,2026-01-21,SECRETA,No,No,No,
2026,01,22308,2026-01-20,SECRETA,No,No,No,
2026,01,22270,2026-01-13,SECRETA,No,No,No,
2026,01,22267,2026-01-12,SECRETA,No,No,No,
2026,01,22259,2026-01-08,SECRETA,No,No,No,
2026,01,22246,2026-01-07,SECRETA,No,No,No,
2026,01,22233,2026-01-05,SECRETA,No,No,No,
2025,12,22197,2025-12-15,SECRETA,No,No,No,
2025,10,22049,2025-10-13,,No,No,No,
2025,10,22000,2025-10-06,,No,No,No,
2025,09,21966,2025-09-29,,No,No,No,
2025,09,21912,2025-09-08,,No,No,No,
2025,09,21875,2025-09-01,,No,No,No,
2025,08,21835,2025-08-18,SECRETA,No,No,No,
2025,08,21792,2025-08-11,CITADA,No,No,No,
2025,08,21775,2025-08-05,SECRETA,No,No,No,
