Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta,URL_Video
2025,10,22076,2025-10-15,,No,No,No,
2025,10,22078,2025-10-15,,No,No,No,
2025,10,22062,2025-10-15,SECRETA,No,No,No,
2025,10,22079,2025-10-15,SECRETA,No,No,No,
2025,10,22056,2025-10-14,SECRETA,No,No,No,
2025,10,22041,2025-10-13,,No,No,No,
2025,10,22037,2025-10-08,SECRETA,No,No,No,
2025,10,22010,2025-10-07,SECRETA,No,No,No,
2025,10,22009,2025-10-07,SECRETA,No,No,No,
2025,10,21998,2025-10-06,SECRETA,No,No,No,
2025,09,21893,2025-09-02,SECRETA,No,No,No,
