Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta,URL_Video
2025,10,22085,2025-10-16,SECRETA,No,No,No,
2025,10,22086,2025-10-16,SECRETA,No,No,No,
2025,10,22075,2025-10-15,SECRETA,No,No,No,
2025,10,22067,2025-10-14,SECRETA,No,No,No,
2025,10,22050,2025-10-13,SECRETA,No,No,No,
2025,10,22032,2025-10-08,SECRETA,No,No,No,
2025,10,22020,2025-10-07,SECRETA,No,No,No,
2025,10,21993,2025-10-02,SECRETA,No,No,No,
2025,09,21901,2025-09-03,SECRETA,No,No,No,
2025,08,21826,2025-08-13,SECRETA,No,No,No,
2025,08,21785,2025-08-06,SECRETA,No,No,No,
2025,07,21706,2025-07-09,SECRETA,No,No,No,
