Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta,URL_Video
2025,10,22077,2025-10-15,SECRETA,No,No,No,
2025,10,22082,2025-10-15,,No,No,No,
2025,10,22063,2025-10-14,SECRETA,No,No,No,
2025,10,22059,2025-10-14,SECRETA,No,No,No,
2025,10,22029,2025-10-08,SECRETA,No,No,No,
2025,10,22016,2025-10-07,SECRETA,No,No,No,
2025,10,22015,2025-10-07,SECRETA,No,No,No,
2025,10,22017,2025-10-07,SECRETA,No,No,No,
2025,09,21940,2025-09-10,SECRETA,No,No,No,
2025,09,21932,2025-09-09,SECRETA,No,No,No,
2025,09,21931,2025-09-09,,No,No,No,
2025,08,21856,2025-08-19,SECRETA,No,No,No,
2025,08,21857,2025-08-19,SECRETA,No,No,No,
2025,08,21852,2025-08-19,SECRETA,No,No,No,
