Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta,URL_Video
2025,10,22083,2025-10-15,SECRETA,No,No,No,
2025,10,22081,2025-10-15,SECRETA,No,No,No,
2025,10,22084,2025-10-15,,No,No,No,
2025,10,22065,2025-10-14,SECRETA,No,No,No,
2025,10,22054,2025-10-14,SECRETA,No,No,No,
2025,10,22030,2025-10-08,SECRETA,No,No,No,
2025,10,22008,2025-10-07,SECRETA,No,No,No,
2025,10,22035,2025-10-07,SECRETA,No,No,No,
2025,10,22036,2025-10-07,SECRETA,No,No,No,
2025,08,21828,2025-08-14,SECRETA,No,No,No,
2025,08,21829,2025-08-14,,No,No,No,
2025,08,21791,2025-08-07,SECRETA,No,No,No,
2025,08,21790,2025-08-07,SECRETA,No,No,No,
