Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta,URL_Video
2026,01,22294,2026-01-19,SECRETA,No,No,No,
2026,01,22283,2026-01-14,SECRETA,No,No,No,
2026,01,22252,2026-01-07,,No,No,No,
2025,12,22220,2025-12-17,,No,No,No,
2025,11,22144,2025-11-26,,No,No,No,
2025,11,22140,2025-11-26,,No,No,No,
2025,10,22001,2025-10-06,,No,No,No,
2025,10,21984,2025-10-01,FRACASADA,No,No,No,
2025,09,21969,2025-09-29,SECRETA,No,No,No,
2025,09,21915,2025-09-08,,No,No,No,
2025,09,21880,2025-09-01,,No,No,No,
2025,08,21786,2025-08-06,SECRETA,No,No,No,
2025,07,21665,2025-07-02,SECRETA,No,No,No,
2025,06,21638,2025-06-18,SECRETA,No,No,No,
2025,06,21616,2025-06-12,SECRETA,No,No,No,
2025,06,21572,2025-06-04,SECRETA,No,No,No,
2025,06,21545,2025-06-02,SECRETA,No,No,No,
2025,05,21533,2025-05-28,SECRETA,No,No,No,
2025,05,21512,2025-05-26,SECRETA,No,No,No,
2025,05,21489,2025-05-14,,No,No,No,
2025,05,21469,2025-05-12,,No,No,No,
2025,05,21445,2025-05-07,,No,No,No,
2025,05,21421,2025-05-05,SECRETA,No,No,No,
2025,04,21409,2025-04-23,SECRETA,No,No,No,
2025,04,21394,2025-04-21,SECRETA,No,No,No,
2025,04,21353,2025-04-14,SECRETA,No,No,No,
2025,04,21335,2025-04-09,SECRETA,No,No,No,
2025,03,21302,2025-03-26,SECRETA,No,No,No,
2025,03,21258,2025-03-19,SECRETA,No,No,No,
2025,03,21227,2025-03-12,SECRETA,No,No,No,
2025,03,21221,2025-03-11,,No,No,No,
