Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta,URL_Video
2026,03,22333,2026-03-02,SECRETA,No,No,No,
2026,01,22330,2026-01-27,SECRETA,No,No,No,
2026,01,22327,2026-01-26,SECRETA,No,No,No,
2026,01,22315,2026-01-21,SECRETA,No,No,No,
2026,01,22307,2026-01-20,SECRETA,No,No,No,
2026,01,22299,2026-01-19,SECRETA,No,No,No,
2026,01,22287,2026-01-14,SECRETA,No,No,No,
2026,01,22275,2026-01-13,SECRETA,No,No,No,
2026,01,22261,2026-01-12,SECRETA,No,No,No,
2026,01,22251,2026-01-07,SECRETA,No,No,No,
2026,01,22242,2026-01-06,SECRETA,No,No,No,
2026,01,22228,2026-01-05,,No,No,No,
2025,12,22217,2025-12-17,SECRETA,No,No,No,
2025,12,22215,2025-12-16,SECRETA,No,No,No,
2025,12,22196,2025-12-15,,No,No,No,
2025,12,22189,2025-12-10,SECRETA,No,No,No,
2025,12,22158,2025-12-02,SECRETA,No,No,No,
2025,12,22152,2025-12-01,SECRETA,No,No,No,
2025,11,22138,2025-11-20,SECRETA,No,No,No,
2025,11,22130,2025-11-19,SECRETA,No,No,No,
2025,11,22106,2025-11-04,FRACASADA,No,No,No,
2025,10,22097,2025-10-27,SECRETA,No,No,No,
2025,10,22070,2025-10-15,SECRETA,No,No,No,
2025,10,22034,2025-10-08,SECRETA,No,No,No,
2025,10,22004,2025-10-07,SECRETA,No,No,No,
2025,10,22024,2025-10-06,SECRETA,No,No,No,
2025,10,21987,2025-10-01,,No,No,No,
2025,09,21983,2025-09-30,SECRETA,No,No,No,
2025,09,21963,2025-09-29,SECRETA,No,No,No,
2025,09,21955,2025-09-16,SECRETA,No,No,No,
2025,09,21946,2025-09-15,SECRETA,No,No,No,
2025,09,21936,2025-09-10,SECRETA,No,No,No,
2025,09,21925,2025-09-09,,No,No,No,
2025,09,21933,2025-09-09,SECRETA,No,No,No,
2025,09,21910,2025-09-08,,No,No,No,
2025,09,21899,2025-09-03,SECRETA,No,No,No,
2025,09,21895,2025-09-02,SECRETA,No,No,No,
2025,09,21870,2025-09-01,SECRETA,No,No,No,
2025,08,21863,2025-08-20,SECRETA,No,No,No,
2025,08,21850,2025-08-19,SECRETA,No,No,No,
2025,08,21834,2025-08-18,,No,No,No,
2025,08,21819,2025-08-13,SECRETA,No,No,No,
2025,08,21794,2025-08-12,SECRETA,No,No,No,
2025,08,21797,2025-08-11,SECRETA,No,No,No,
2025,08,21781,2025-08-06,SECRETA,No,No,No,
2025,08,21768,2025-08-05,SECRETA,No,No,No,
2025,08,21765,2025-08-04,SECRETA,No,No,No,
2025,07,21742,2025-07-22,SECRETA,No,No,No,
2025,07,21729,2025-07-21,,No,No,No,
2025,07,21721,2025-07-15,SECRETA,No,No,No,
2025,07,21716,2025-07-14,SECRETA,No,No,No,
2025,07,21703,2025-07-09,SECRETA,No,No,No,
2025,07,21697,2025-07-08,SECRETA,No,No,No,
,,21677,,,No,No,No,
2025,07,21669,2025-07-02,SECRETA,No,No,No,
2025,07,21655,2025-07-01,SECRETA,No,No,No,
2025,06,21643,2025-06-30,,No,No,No,
2025,06,21637,2025-06-18,SECRETA,No,No,No,
2025,06,21627,2025-06-17,SECRETA,No,No,No,
2025,06,21612,2025-06-16,SECRETA,No,No,No,
2025,06,21606,2025-06-11,SECRETA,No,No,No,
2025,06,21593,2025-06-10,SECRETA,No,No,No,
2025,06,21599,2025-06-09,SECRETA,No,No,No,
2025,06,21575,2025-06-04,SECRETA,No,No,No,
2025,06,21549,2025-06-03,SECRETA,No,No,No,
2025,06,21543,2025-06-02,SECRETA,No,No,No,
2025,05,21532,2025-05-28,SECRETA,No,No,No,
2025,05,21520,2025-05-27,SECRETA,No,No,No,
2025,05,21510,2025-05-26,SECRETA,No,No,No,
2025,05,21496,2025-05-14,SECRETA,No,No,No,
2025,05,21481,2025-05-13,SECRETA,No,No,No,
2025,05,21463,2025-05-12,,No,No,No,
2025,05,21449,2025-05-07,SECRETA,No,No,No,
2025,05,21432,2025-05-06,SECRETA,No,No,No,
2025,04,21415,2025-04-23,,No,No,No,
2025,04,21397,2025-04-22,SECRETA,No,No,No,
2025,04,21388,2025-04-21,SECRETA,No,No,No,
2025,04,21376,2025-04-16,SECRETA,No,No,No,
2025,04,21373,2025-04-15,SECRETA,No,No,No,
2025,04,21356,2025-04-14,SECRETA,No,No,No,
2025,04,21346,2025-04-09,SECRETA,No,No,No,
2025,04,21331,2025-04-08,SECRETA,No,No,No,
2025,04,21319,2025-04-07,SECRETA,No,No,No,
2025,03,21305,2025-03-26,SECRETA,No,No,No,
2025,03,21291,2025-03-25,SECRETA,No,No,No,
2025,03,21280,2025-03-24,SECRETA,No,No,No,
2025,03,21266,2025-03-19,SECRETA,No,No,No,
2025,03,21248,2025-03-18,SECRETA,No,No,No,
2025,03,21242,2025-03-17,SECRETA,No,No,No,
2025,03,21236,2025-03-12,SECRETA,No,No,No,
2025,03,21214,2025-03-11,SECRETA,No,No,No,
