Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta,URL_Video
2026,01,22265,2026-01-12,SECRETA,No,No,No,
2026,01,22249,2026-01-07,SECRETA,No,No,No,
2025,12,22199,2025-12-15,SECRETA,No,No,No,
2025,09,21970,2025-09-29,SECRETA,No,No,No,
2025,09,21913,2025-09-08,FRACASADA,No,No,No,
2025,09,21898,2025-09-03,SECRETA,No,No,No,
2025,08,21758,2025-08-04,SECRETA,No,No,No,
2025,07,21732,2025-07-21,SECRETA,No,No,No,
2025,07,21717,2025-07-14,SECRETA,No,No,No,
2025,06,21618,2025-06-16,SECRETA,No,No,No,
2025,06,21588,2025-06-09,SECRETA,No,No,No,
2025,06,21580,2025-06-04,SECRETA,No,No,No,
2025,06,21562,2025-06-03,SECRETA,No,No,No,
2025,05,21503,2025-05-27,SECRETA,No,No,No,
2025,05,21502,2025-05-26,SECRETA,No,No,No,
2025,05,21487,2025-05-13,SECRETA,No,No,No,
2025,05,21443,2025-05-06,SECRETA,No,No,No,
2025,04,21322,2025-04-07,SECRETA,No,No,No,
2025,03,21287,2025-03-24,SECRETA,No,No,No,
2025,03,21245,2025-03-17,,No,No,No,
