Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta,URL_Video
2026,01,22241,2026-01-06,SECRETA,No,No,No,
2025,12,22212,2025-12-16,SECRETA,No,No,No,
2025,12,22150,2025-12-02,SECRETA,No,No,No,
2025,11,22109,2025-11-04,SECRETA,No,No,No,
2025,10,22055,2025-10-14,SECRETA,No,No,No,
2025,10,22012,2025-10-07,SECRETA,No,No,No,
2025,09,21981,2025-09-30,SECRETA,No,No,No,
2025,09,21917,2025-09-09,SECRETA,No,No,No,
2025,09,21888,2025-09-02,SECRETA,No,No,No,
2025,08,21844,2025-08-19,SECRETA,No,No,No,
2025,08,21805,2025-08-12,SECRETA,No,No,No,
2025,08,21774,2025-08-05,SECRETA,No,No,No,
2025,07,21726,2025-07-22,SECRETA,No,No,No,
2025,07,21725,2025-07-21,SECRETA,No,No,No,
2025,07,21714,2025-07-14,SECRETA,No,No,No,
2025,07,21709,2025-07-09,SECRETA,No,No,No,
2025,07,21663,2025-07-01,SECRETA,No,No,No,
2025,06,21598,2025-06-10,SECRETA,No,No,No,
2025,06,21583,2025-06-09,,No,No,No,
2025,06,21578,2025-06-04,SECRETA,No,No,No,
2025,06,21554,2025-06-03,SECRETA,No,No,No,
2025,06,21536,2025-06-02,SECRETA,No,No,No,
2025,05,21522,2025-05-27,SECRETA,No,No,No,
2025,05,21464,2025-05-13,SECRETA,No,No,No,
2025,05,21435,2025-05-06,SECRETA,No,No,No,
2025,04,21404,2025-04-22,SECRETA,No,No,No,
2025,04,21370,2025-04-15,SECRETA,No,No,No,
2025,04,21317,2025-04-07,,No,No,No,
2025,03,21249,2025-03-18,SECRETA,No,No,No,
