Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta,URL_Video
2026,01,22281,2026-01-13,SECRETA,No,No,No,
2026,01,22237,2026-01-06,FRACASADA,No,No,No,
2025,12,22181,2025-12-09,SECRETA,No,No,No,
2025,11,22134,2025-11-19,SECRETA,No,No,No,
2025,11,22089,2025-11-04,,No,No,No,
2025,10,22061,2025-10-14,SECRETA,No,No,No,
2025,10,22013,2025-10-07,SECRETA,No,No,No,
2025,09,21947,2025-09-16,SECRETA,No,No,No,
2025,09,21918,2025-09-09,SECRETA,No,No,No,
2025,08,21839,2025-08-19,,No,No,No,
2025,08,21804,2025-08-12,SECRETA,No,No,No,
2025,08,21776,2025-08-05,SECRETA,No,No,No,
2025,07,21747,2025-07-23,SECRETA,No,No,No,
2025,07,21720,2025-07-15,SECRETA,No,No,No,
2025,07,21680,2025-07-08,SECRETA,No,No,No,
2025,07,21660,2025-07-01,FRACASADA,No,No,No,
2025,06,21631,2025-06-17,SECRETA,No,No,No,
2025,06,21602,2025-06-10,SECRETA,No,No,No,
2025,05,21514,2025-05-27,SECRETA,No,No,No,
2025,05,21442,2025-05-06,SECRETA,No,No,No,
2025,04,21419,2025-04-24,FRACASADA,No,No,No,
2025,04,21395,2025-04-22,SECRETA,No,No,No,
2025,04,21374,2025-04-15,SECRETA,No,No,No,
2025,04,21323,2025-04-08,SECRETA,No,No,No,
2025,03,21284,2025-03-25,SECRETA,No,No,No,
2025,03,21220,2025-03-11,SECRETA,No,No,No,
