Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta,URL_Video
2026,01,22296,2026-01-19,SECRETA,No,No,No,
2026,01,22234,2026-01-05,SECRETA,No,No,No,
2025,12,22202,2025-12-15,SECRETA,No,No,No,
2025,12,22147,2025-12-01,SECRETA,No,No,No,
2025,10,22095,2025-10-27,SECRETA,No,No,No,
2025,09,21965,2025-09-29,SECRETA,No,No,No,
2025,09,21944,2025-09-15,SECRETA,No,No,No,
2025,09,21894,2025-09-08,SECRETA,No,No,No,
2025,08,21796,2025-08-11,SECRETA,No,No,No,
2025,08,21757,2025-08-04,SECRETA,No,No,No,
2025,07,21728,2025-07-21,SECRETA,No,No,No,
2025,07,21676,2025-07-07,SECRETA,No,No,No,
2025,06,21645,2025-06-30,SECRETA,No,No,No,
2025,06,21587,2025-06-09,SECRETA,No,No,No,
2025,05,21511,2025-05-26,SECRETA,No,No,No,
2025,05,21468,2025-05-12,SECRETA,No,No,No,
2025,04,21391,2025-04-21,SECRETA,No,No,No,
2025,04,21357,2025-04-14,SECRETA,No,No,No,
2025,03,21282,2025-03-24,SECRETA,No,No,No,
