Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta,URL_Video
2026,01,22325,2026-01-21,SECRETA,No,No,No,
2026,01,22301,2026-01-19,SECRETA,No,No,No,
2026,01,22273,2026-01-14,SECRETA,No,No,No,
2026,01,22272,2026-01-13,SECRETA,No,No,No,
2026,01,22248,2026-01-07,SECRETA,No,No,No,
2025,12,22216,2025-12-17,SECRETA,No,No,No,
2025,12,22203,2025-12-16,SECRETA,No,No,No,
2025,12,22185,2025-12-10,SECRETA,No,No,No,
2025,12,22183,2025-12-09,SECRETA,No,No,No,
2025,12,22162,2025-12-03,SECRETA,No,No,No,
2025,12,22161,2025-12-02,SECRETA,No,No,No,
2025,11,22141,2025-11-26,,No,No,No,
2025,11,22133,2025-11-19,SECRETA,No,No,No,
2025,11,22122,2025-11-05,SECRETA,No,No,No,
2025,11,22123,2025-11-04,SECRETA,No,No,No,
2025,10,22064,2025-10-15,SECRETA,No,No,No,
2025,10,22044,2025-10-14,FRACASADA,No,No,No,
2025,10,22033,2025-10-08,SECRETA,No,No,No,
2025,10,22011,2025-10-07,SECRETA,No,No,No,
2025,10,21991,2025-10-01,SECRETA,No,No,No,
2025,09,21958,2025-09-16,SECRETA,No,No,No,
2025,09,21939,2025-09-10,SECRETA,No,No,No,
2025,09,21924,2025-09-09,SECRETA,No,No,No,
2025,09,21914,2025-09-08,SECRETA,No,No,No,
2025,09,21897,2025-09-03,SECRETA,No,No,No,
2025,09,21896,2025-09-02,SECRETA,No,No,No,
2025,08,21866,2025-08-20,SECRETA,No,No,No,
2025,08,21846,2025-08-19,FRACASADA,No,No,No,
2025,08,21799,2025-08-13,SECRETA,No,No,No,
2025,08,21762,2025-08-06,SECRETA,No,No,No,
2025,08,21761,2025-08-05,FRACASADA,No,No,No,
2025,07,21731,2025-07-21,SECRETA,No,No,No,
2025,07,21719,2025-07-15,,No,No,No,
2025,07,21705,2025-07-09,SECRETA,No,No,No,
2025,07,21691,2025-07-08,SECRETA,No,No,No,
2025,07,21672,2025-07-02,SECRETA,No,No,No,
2025,06,21621,2025-06-18,SECRETA,No,No,No,
2025,06,21589,2025-06-11,SECRETA,No,No,No,
2025,06,21577,2025-06-04,SECRETA,No,No,No,
2025,05,21504,2025-05-28,SECRETA,No,No,No,
2025,05,21459,2025-05-14,SECRETA,No,No,No,
2025,05,21457,2025-05-07,SECRETA,No,No,No,
2025,04,21417,2025-04-23,SECRETA,No,No,No,
2025,04,21386,2025-04-16,SECRETA,No,No,No,
2025,04,21349,2025-04-09,SECRETA,No,No,No,
2025,03,21308,2025-03-26,,No,No,No,
2025,03,21263,2025-03-19,SECRETA,No,No,No,
2025,03,21234,2025-03-12,SECRETA,No,No,No,
