Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta,URL_Video
2026,01,22271,2026-01-13,SECRETA,No,No,No,
2026,01,22238,2026-01-06,SECRETA,No,No,No,
2025,12,22210,2025-12-16,SECRETA,No,No,No,
2025,12,22171,2025-12-09,SECRETA,No,No,No,
2025,12,22155,2025-12-02,SECRETA,No,No,No,
2025,11,22105,2025-11-04,SECRETA,No,No,No,
2025,10,22090,2025-10-27,SECRETA,No,No,No,
2025,10,22052,2025-10-14,SECRETA,No,No,No,
2025,09,21979,2025-09-30,SECRETA,No,No,No,
2025,09,21949,2025-09-16,SECRETA,No,No,No,
2025,09,21919,2025-09-09,SECRETA,No,No,No,
2025,09,21885,2025-09-02,SECRETA,No,No,No,
2025,08,21841,2025-08-19,SECRETA,No,No,No,
2025,08,21769,2025-08-05,SECRETA,No,No,No,
2025,07,21735,2025-07-22,SECRETA,No,No,No,
2025,07,21685,2025-07-08,SECRETA,No,No,No,
2025,07,21650,2025-07-01,SECRETA,No,No,No,
2025,06,21622,2025-06-17,SECRETA,No,No,No,
2025,06,21591,2025-06-10,SECRETA,No,No,No,
2025,06,21547,2025-06-03,SECRETA,No,No,No,
2025,05,21517,2025-05-27,SECRETA,No,No,No,
2025,05,21476,2025-05-13,SECRETA,No,No,No,
2025,05,21428,2025-05-06,SECRETA,No,No,No,
2025,04,21393,2025-04-22,,No,No,No,
2025,04,21365,2025-04-15,SECRETA,No,No,No,
2025,04,21324,2025-04-08,SECRETA,No,No,No,
2025,03,21278,2025-03-24,SECRETA,No,No,No,
