Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta,URL_Video
2026,01,22244,2026-01-06,SECRETA,No,No,No,
2025,12,22194,2025-12-10,SECRETA,No,No,No,
2025,12,22182,2025-12-09,SECRETA,No,No,No,
2025,10,22057,2025-10-14,SECRETA,No,No,No,
2025,10,22014,2025-10-07,SECRETA,No,No,No,
2025,09,21934,2025-09-09,SECRETA,No,No,No,
2025,09,21892,2025-09-02,SECRETA,No,No,No,
2025,08,21777,2025-08-05,,No,No,No,
2025,07,21746,2025-07-22,SECRETA,No,No,No,
2025,07,21723,2025-07-15,,No,No,No,
2025,07,21694,2025-07-08,SECRETA,No,No,No,
2025,06,21566,2025-06-03,SECRETA,No,No,No,
2025,05,21486,2025-05-13,SECRETA,No,No,No,
2025,05,21441,2025-05-06,SECRETA,No,No,No,
2025,04,21408,2025-04-22,,No,No,No,
2025,04,21382,2025-04-16,,No,No,No,
2025,04,21333,2025-04-08,,No,No,No,
2025,03,21265,2025-03-19,,No,No,No,
