Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta,URL_Video
2026,01,22331,2026-01-27,SECRETA,No,No,No,
2026,01,22326,2026-01-26,SECRETA,No,No,No,
2026,01,22323,2026-01-21,SECRETA,No,No,No,
2026,01,22317,2026-01-21,SECRETA,No,No,No,
2026,01,22297,2026-01-19,,No,No,No,
2026,01,22305,2026-01-19,SECRETA,No,No,No,
2026,01,22292,2026-01-15,CITADA,No,No,No,
2026,01,22284,2026-01-14,SECRETA,No,No,No,
2026,01,22274,2026-01-13,SECRETA,No,No,No,
2026,01,22247,2026-01-07,SECRETA,No,No,No,
2025,12,22227,2025-12-22,,No,No,No,
2025,12,22219,2025-12-17,SECRETA,No,No,No,
2025,12,22206,2025-12-16,SECRETA,No,No,No,
2025,12,22188,2025-12-10,SECRETA,No,No,No,
2025,12,22175,2025-12-09,SECRETA,No,No,No,
2025,12,22165,2025-12-03,SECRETA,No,No,No,
2025,12,22151,2025-12-02,SECRETA,No,No,No,
2025,11,22137,2025-11-20,SECRETA,No,No,No,
2025,11,22129,2025-11-19,SECRETA,No,No,No,
2025,11,22125,2025-11-12,,No,No,No,
2025,11,22124,2025-11-05,SECRETA,No,No,No,
2025,11,22119,2025-11-05,SECRETA,No,No,No,
2025,10,22045,2025-10-13,SECRETA,No,No,No,
2025,10,22025,2025-10-08,SECRETA,No,No,No,
2025,10,22006,2025-10-07,SECRETA,No,No,No,
2025,10,21994,2025-10-06,,No,No,No,
2025,09,21977,2025-09-30,SECRETA,No,No,No,
2025,09,21962,2025-09-29,,No,No,No,
2025,09,21950,2025-09-16,SECRETA,No,No,No,
2025,09,21942,2025-09-15,SECRETA,No,No,No,
2025,09,21923,2025-09-09,SECRETA,No,No,No,
2025,09,21903,2025-09-03,SECRETA,No,No,No,
2025,09,21884,2025-09-02,SECRETA,No,No,No,
2025,09,21871,2025-09-01,SECRETA,No,No,No,
2025,08,21864,2025-08-20,SECRETA,No,No,No,
2025,08,21817,2025-08-13,SECRETA,No,No,No,
2025,08,21802,2025-08-12,SECRETA,No,No,No,
2025,08,21793,2025-08-11,SECRETA,No,No,No,
2025,08,21779,2025-08-06,SECRETA,No,No,No,
2025,08,21766,2025-08-05,SECRETA,No,No,No,
2025,08,21754,2025-08-04,SECRETA,No,No,No,
2025,07,21750,2025-07-23,SECRETA,No,No,No,
2025,07,21739,2025-07-22,SECRETA,No,No,No,
2025,07,21722,2025-07-15,SECRETA,No,No,No,
2025,07,21711,2025-07-14,SECRETA,No,No,No,
2025,07,21707,2025-07-09,SECRETA,No,No,No,
2025,07,21700,2025-07-09,SECRETA,No,No,No,
2025,07,21686,2025-07-08,SECRETA,No,No,No,
2025,07,21678,2025-07-07,SECRETA,No,No,No,
2025,07,21668,2025-07-02,SECRETA,No,No,No,
2025,07,21653,2025-07-01,SECRETA,No,No,No,
2025,06,21642,2025-06-30,SECRETA,No,No,No,
2025,06,21635,2025-06-18,,No,No,No,
2025,06,21623,2025-06-17,SECRETA,No,No,No,
2025,06,21613,2025-06-16,SECRETA,No,No,No,
2025,06,21607,2025-06-11,SECRETA,No,No,No,
2025,06,21594,2025-06-10,SECRETA,No,No,No,
2025,06,21582,2025-06-09,SECRETA,No,No,No,
2025,06,21574,2025-06-04,SECRETA,No,No,No,
2025,06,21550,2025-06-03,SECRETA,No,No,No,
2025,06,21569,2025-06-03,SECRETA,No,No,No,
2025,06,21539,2025-06-02,SECRETA,No,No,No,
2025,05,21530,2025-05-28,SECRETA,No,No,No,
2025,05,21524,2025-05-27,SECRETA,No,No,No,
2025,05,21506,2025-05-26,SECRETA,No,No,No,
2025,05,21501,2025-05-19,,No,No,No,
2025,05,21473,2025-05-13,SECRETA,No,No,No,
2025,05,21461,2025-05-12,SECRETA,No,No,No,
2025,05,21448,2025-05-07,SECRETA,No,No,No,
2025,05,21429,2025-05-06,SECRETA,No,No,No,
2025,05,21444,2025-05-06,SECRETA,No,No,No,
2025,04,21411,2025-04-23,SECRETA,No,No,No,
2025,04,21407,2025-04-22,SECRETA,No,No,No,
2025,04,21401,2025-04-22,SECRETA,No,No,No,
2025,04,21378,2025-04-16,SECRETA,No,No,No,
2025,04,21361,2025-04-15,SECRETA,No,No,No,
2025,04,21344,2025-04-09,SECRETA,No,No,No,
2025,04,21339,2025-04-09,SECRETA,No,No,No,
2025,04,21329,2025-04-08,SECRETA,No,No,No,
2025,04,21336,2025-04-08,SECRETA,No,No,No,
2025,04,21318,2025-04-07,SECRETA,No,No,No,
2025,04,21321,2025-04-07,SECRETA,No,No,No,
2025,03,21312,2025-03-27,SECRETA,No,No,No,
2025,03,21307,2025-03-26,SECRETA,No,No,No,
2025,03,21304,2025-03-26,SECRETA,No,No,No,
2025,03,21289,2025-03-25,SECRETA,No,No,No,
2025,03,21290,2025-03-25,SECRETA,No,No,No,
2025,03,21276,2025-03-24,,No,No,No,
2025,03,21277,2025-03-24,SECRETA,No,No,No,
2025,03,21259,2025-03-19,CITADA,No,No,No,
2025,03,21247,2025-03-18,SECRETA,No,No,No,
2025,03,21229,2025-03-12,SECRETA,No,No,No,
2025,03,21219,2025-03-11,SECRETA,No,No,No,
