Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta,URL_Video
2026,01,22312,2026-01-20,SECRETA,No,No,No,
2026,01,22302,2026-01-19,SECRETA,No,No,No,
2026,01,22279,2026-01-13,SECRETA,No,No,No,
2026,01,22258,2026-01-08,SECRETA,No,No,No,
2026,01,22229,2026-01-05,SECRETA,No,No,No,
2025,12,22226,2025-12-18,,No,No,No,
2025,12,22180,2025-12-09,SECRETA,No,No,No,
2025,11,22110,2025-11-04,SECRETA,No,No,No,
2025,11,22103,2025-11-03,,No,No,No,
2025,10,22094,2025-10-27,SECRETA,No,No,No,
2025,10,22046,2025-10-13,,No,No,No,
2025,10,21997,2025-10-06,,No,No,No,
2025,09,21964,2025-09-29,SECRETA,No,No,No,
2025,09,21952,2025-09-16,SECRETA,No,No,No,
2025,09,21945,2025-09-15,SECRETA,No,No,No,
2025,09,21928,2025-09-09,SECRETA,No,No,No,
2025,09,21909,2025-09-08,SECRETA,No,No,No,
2025,09,21889,2025-09-02,,No,No,No,
2025,09,21872,2025-09-01,SECRETA,No,No,No,
2025,08,21848,2025-08-19,SECRETA,No,No,No,
2025,08,21832,2025-08-18,SECRETA,No,No,No,
2025,08,21808,2025-08-12,SECRETA,No,No,No,
2025,08,21795,2025-08-11,SECRETA,No,No,No,
2025,08,21772,2025-08-05,SECRETA,No,No,No,
2025,08,21755,2025-08-04,SECRETA,No,No,No,
2025,07,21743,2025-07-22,SECRETA,No,No,No,
2025,07,21730,2025-07-21,SECRETA,No,No,No,
2025,07,21713,2025-07-14,,No,No,No,
2025,07,21692,2025-07-08,SECRETA,No,No,No,
2025,07,21682,2025-07-07,,No,No,No,
2025,07,21656,2025-07-01,SECRETA,No,No,No,
2025,06,21646,2025-06-30,,No,No,No,
2025,06,21630,2025-06-17,SECRETA,No,No,No,
2025,06,21614,2025-06-16,SECRETA,No,No,No,
2025,06,21600,2025-06-10,SECRETA,No,No,No,
2025,06,21584,2025-06-09,SECRETA,No,No,No,
2025,06,21553,2025-06-03,SECRETA,No,No,No,
2025,06,21540,2025-06-02,SECRETA,No,No,No,
2025,05,21521,2025-05-27,SECRETA,No,No,No,
2025,05,21507,2025-05-26,SECRETA,No,No,No,
2025,05,21479,2025-05-13,SECRETA,No,No,No,
2025,05,21462,2025-05-12,SECRETA,No,No,No,
2025,05,21436,2025-05-06,SECRETA,No,No,No,
2025,05,21424,2025-05-05,SECRETA,No,No,No,
2025,04,21402,2025-04-22,SECRETA,No,No,No,
2025,04,21387,2025-04-21,SECRETA,No,No,No,
2025,04,21369,2025-04-15,SECRETA,No,No,No,
2025,04,21354,2025-04-14,,No,No,No,
2025,04,21315,2025-04-08,SECRETA,No,No,No,
2025,03,21270,2025-03-25,SECRETA,No,No,No,
2025,03,21269,2025-03-24,,No,No,No,
2025,03,21253,2025-03-18,SECRETA,No,No,No,
2025,03,21243,2025-03-17,SECRETA,No,No,No,
2025,03,21208,2025-03-11,SECRETA,No,No,No,
