Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta,URL_Video
2026,01,22290,2026-01-14,SECRETA,No,No,No,
2026,01,22254,2026-01-07,SECRETA,No,No,No,
2025,12,22223,2025-12-17,,No,No,No,
2025,12,22186,2025-12-10,SECRETA,No,No,No,
2025,12,22168,2025-12-03,SECRETA,No,No,No,
2025,10,22096,2025-10-27,SECRETA,No,No,No,
2025,10,22073,2025-10-15,SECRETA,No,No,No,
2025,10,21982,2025-10-01,SECRETA,No,No,No,
2025,08,21862,2025-08-20,,No,No,No,
2025,08,21822,2025-08-13,SECRETA,No,No,No,
2025,08,21784,2025-08-06,,No,No,No,
2025,07,21670,2025-07-02,SECRETA,No,No,No,
2025,06,21639,2025-06-18,SECRETA,No,No,No,
2025,06,21610,2025-06-11,,No,No,No,
2025,06,21579,2025-06-04,SECRETA,No,No,No,
2025,06,21546,2025-06-02,SECRETA,No,No,No,
2025,05,21534,2025-05-28,SECRETA,No,No,No,
2025,05,21498,2025-05-14,SECRETA,No,No,No,
2025,05,21454,2025-05-07,,No,No,No,
2025,04,21380,2025-04-16,,No,No,No,
2025,04,21345,2025-04-09,,No,No,No,
2025,03,21313,2025-03-31,SECRETA,No,No,No,
2025,03,21268,2025-03-19,SECRETA,No,No,No,
2025,03,21233,2025-03-12,SECRETA,No,No,No,
