Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta,URL_Video
2026,01,22321,2026-01-21,SECRETA,No,No,No,
2026,01,22298,2026-01-15,SECRETA,No,No,No,
2026,01,22255,2026-01-07,,No,No,No,
2025,12,22193,2025-12-10,SECRETA,No,No,No,
2025,11,22121,2025-11-05,,No,No,No,
2025,10,22027,2025-10-08,SECRETA,No,No,No,
2025,09,21905,2025-09-03,SECRETA,No,No,No,
2025,08,21869,2025-08-21,SECRETA,No,No,No,
2025,08,21814,2025-08-13,SECRETA,No,No,No,
2025,08,21782,2025-08-06,SECRETA,No,No,No,
2025,07,21727,2025-07-23,SECRETA,No,No,No,
2025,07,21701,2025-07-09,SECRETA,No,No,No,
2025,07,21666,2025-07-02,SECRETA,No,No,No,
2025,06,21633,2025-06-18,SECRETA,No,No,No,
2025,06,21538,2025-06-04,SECRETA,No,No,No,
2025,05,21527,2025-05-28,SECRETA,No,No,No,
2025,05,21465,2025-05-14,SECRETA,No,No,No,
2025,05,21456,2025-05-07,SECRETA,No,No,No,
2025,04,21412,2025-04-23,SECRETA,No,No,No,
2025,04,21383,2025-04-16,SECRETA,No,No,No,
2025,04,21347,2025-04-09,,No,No,No,
2025,03,21309,2025-03-26,SECRETA,No,No,No,
