Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta,URL_Video
2026,01,22286,2026-01-14,SECRETA,No,No,No,
2025,12,22187,2025-12-10,SECRETA,No,No,No,
2025,11,22139,2025-11-26,SECRETA,No,No,No,
2025,11,22118,2025-11-05,SECRETA,No,No,No,
2025,10,22068,2025-10-15,SECRETA,No,No,No,
2025,10,22023,2025-10-08,SECRETA,No,No,No,
2025,09,21904,2025-09-03,SECRETA,No,No,No,
2025,08,21818,2025-08-13,SECRETA,No,No,No,
2025,07,21749,2025-07-23,SECRETA,No,No,No,
2025,07,21699,2025-07-09,,No,No,No,
2025,06,21636,2025-06-18,,No,No,No,
2025,06,21573,2025-06-04,,No,No,No,
2025,05,21529,2025-05-28,SECRETA,No,No,No,
2025,05,21494,2025-05-14,SECRETA,No,No,No,
2025,05,21450,2025-05-07,,No,No,No,
2025,04,21413,2025-04-23,SECRETA,No,No,No,
2025,04,21379,2025-04-16,SECRETA,No,No,No,
2025,04,21338,2025-04-09,,No,No,No,
2025,03,21275,2025-03-20,SECRETA,No,No,No,
2025,03,21230,2025-03-12,SECRETA,No,No,No,
