Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta,URL_Video
2026,01,22311,2026-01-20,SECRETA,No,No,No,
2026,01,22243,2026-01-06,SECRETA,No,No,No,
2025,12,22213,2025-12-16,SECRETA,No,No,No,
2025,12,22156,2025-12-02,SECRETA,No,No,No,
2025,11,22113,2025-11-04,SECRETA,No,No,No,
2025,09,21980,2025-09-30,SECRETA,No,No,No,
2025,09,21927,2025-09-09,SECRETA,No,No,No,
2025,08,21845,2025-08-19,SECRETA,No,No,No,
2025,08,21809,2025-08-12,SECRETA,No,No,No,
2025,08,21771,2025-08-05,SECRETA,No,No,No,
2025,07,21744,2025-07-22,SECRETA,No,No,No,
2025,07,21690,2025-07-08,SECRETA,No,No,No,
2025,07,21657,2025-07-01,SECRETA,No,No,No,
2025,06,21604,2025-06-10,SECRETA,No,No,No,
2025,06,21563,2025-06-03,SECRETA,No,No,No,
2025,05,21531,2025-05-27,,No,No,No,
2025,05,21437,2025-05-06,SECRETA,No,No,No,
2025,04,21403,2025-04-22,SECRETA,No,No,No,
2025,04,21330,2025-04-08,SECRETA,No,No,No,
2025,03,21310,2025-03-26,SECRETA,No,No,No,
2025,03,21239,2025-03-13,,No,No,No,
2025,03,21216,2025-03-11,SECRETA,No,No,No,
