Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta,URL_Video
2026,01,22332,2026-01-27,,No,No,No,
2026,01,22257,2026-01-07,SECRETA,No,No,No,
2025,12,22209,2025-12-15,SECRETA,No,No,No,
2025,11,22145,2025-11-26,SECRETA,No,No,No,
2025,11,22136,2025-11-19,SECRETA,No,No,No,
2025,10,22038,2025-10-08,,No,No,No,
2025,09,21972,2025-09-29,SECRETA,No,No,No,
2025,09,21957,2025-09-16,SECRETA,No,No,No,
2025,09,21882,2025-09-01,SECRETA,No,No,No,
2025,08,21824,2025-08-13,SECRETA,No,No,No,
2025,07,21724,2025-07-15,,No,No,No,
2025,06,21664,2025-06-30,SECRETA,No,No,No,
2025,06,21641,2025-06-16,SECRETA,No,No,No,
2025,06,21567,2025-06-03,SECRETA,No,No,No,
2025,05,21458,2025-05-07,SECRETA,No,No,No,
2025,03,21271,2025-03-19,SECRETA,No,No,No,
2025,03,21254,2025-03-17,SECRETA,No,No,No,
