Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta,URL_Video
2026,03,22304,2026-03-02,CELEBRADA,No,No,No,
2026,01,22304,2026-01-20,SECRETA,No,No,No,
2026,01,22300,2026-01-19,,No,No,No,
2026,01,22288,2026-01-14,SECRETA,No,No,No,
2026,01,22269,2026-01-13,SECRETA,No,No,No,
2026,01,22264,2026-01-12,SECRETA,No,No,No,
2026,01,22236,2026-01-06,SECRETA,No,No,No,
2026,01,22232,2026-01-05,,No,No,No,
2025,12,22222,2025-12-17,SECRETA,No,No,No,
2025,12,22201,2025-12-16,SECRETA,No,No,No,
2025,12,22200,2025-12-15,,No,No,No,
2025,12,22192,2025-12-10,SECRETA,No,No,No,
2025,12,22177,2025-12-09,SECRETA,No,No,No,
2025,12,22164,2025-12-03,CITADA,No,No,No,
2025,12,22169,2025-12-03,SECRETA,No,No,No,
2025,12,22148,2025-12-02,SECRETA,No,No,No,
2025,11,22135,2025-11-19,,No,No,No,
2025,11,22108,2025-11-04,SECRETA,No,No,No,
2025,10,22098,2025-10-27,SECRETA,No,No,No,
2025,10,22088,2025-10-17,SECRETA,No,No,No,
2025,10,22087,2025-10-16,SECRETA,No,No,No,
2025,10,22048,2025-10-13,SECRETA,No,No,No,
2025,10,22003,2025-10-07,SECRETA,No,No,No,
2025,10,22002,2025-10-06,SECRETA,No,No,No,
2025,09,21975,2025-09-30,SECRETA,No,No,No,
2025,09,21974,2025-09-29,SECRETA,No,No,No,
2025,09,21948,2025-09-16,SECRETA,No,No,No,
2025,09,21922,2025-09-09,SECRETA,No,No,No,
2025,09,21907,2025-09-08,SECRETA,No,No,No,
2025,09,21877,2025-09-02,SECRETA,No,No,No,
2025,09,21876,2025-09-01,SECRETA,No,No,No,
2025,08,21853,2025-08-20,SECRETA,No,No,No,
2025,08,21837,2025-08-19,SECRETA,No,No,No,
2025,08,21836,2025-08-18,SECRETA,No,No,No,
2025,08,21801,2025-08-12,SECRETA,No,No,No,
2025,08,21789,2025-08-06,SECRETA,No,No,No,
2025,08,21760,2025-08-05,SECRETA,No,No,No,
2025,08,21752,2025-08-04,SECRETA,No,No,No,
2025,07,21741,2025-07-23,SECRETA,No,No,No,
2025,07,21737,2025-07-22,SECRETA,No,No,No,
2025,07,21718,2025-07-15,SECRETA,No,No,No,
2025,07,21712,2025-07-14,CELEBRADA,No,No,No,
2025,07,21702,2025-07-09,SECRETA,No,No,No,
2025,07,21684,2025-07-08,SECRETA,No,No,No,
2025,07,21674,2025-07-07,SECRETA,No,No,No,
2025,07,21649,2025-07-01,SECRETA,No,No,No,
2025,06,21644,2025-06-30,SECRETA,No,No,No,
2025,06,21632,2025-06-18,SECRETA,No,No,No,
2025,06,21620,2025-06-17,SECRETA,No,No,No,
2025,06,21611,2025-06-16,SECRETA,No,No,No,
2025,06,21590,2025-06-10,SECRETA,No,No,No,
2025,06,21585,2025-06-09,SECRETA,No,No,No,
2025,06,21564,2025-06-04,SECRETA,No,No,No,
2025,06,21548,2025-06-03,SECRETA,No,No,No,
2025,06,21541,2025-06-02,SECRETA,No,No,No,
2025,05,21513,2025-05-27,SECRETA,No,No,No,
2025,05,21508,2025-05-26,SECRETA,No,No,No,
2025,05,21488,2025-05-14,SECRETA,No,No,No,
2025,05,21470,2025-05-13,SECRETA,No,No,No,
2025,05,21466,2025-05-12,SECRETA,No,No,No,
2025,05,21426,2025-05-06,SECRETA,No,No,No,
2025,05,21423,2025-05-05,SECRETA,No,No,No,
2025,04,21390,2025-04-22,SECRETA,No,No,No,
2025,04,21359,2025-04-15,SECRETA,No,No,No,
2025,04,21328,2025-04-08,SECRETA,No,No,No,
2025,03,21292,2025-03-25,SECRETA,No,No,No,
2025,03,21251,2025-03-18,,No,No,No,
2025,03,21215,2025-03-11,SECRETA,No,No,No,
