Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta,URL_Video
2026,01,22309,2026-01-20,SECRETA,No,No,No,
2026,01,22276,2026-01-13,SECRETA,No,No,No,
2026,01,22240,2026-01-06,SECRETA,No,No,No,
2025,12,22208,2025-12-16,SECRETA,No,No,No,
2025,12,22176,2025-12-09,SECRETA,No,No,No,
2025,12,22154,2025-12-02,SECRETA,No,No,No,
2025,11,22128,2025-11-19,SECRETA,No,No,No,
2025,11,22112,2025-11-04,SECRETA,No,No,No,
2025,11,22111,2025-11-03,SECRETA,No,No,No,
2025,10,22093,2025-10-27,SECRETA,No,No,No,
,,22053,,,No,No,No,
2025,10,22039,2025-10-09,SECRETA,No,No,No,
,,22018,,,No,No,No,
,,21976,,,No,No,No,
2025,09,21968,2025-09-29,,No,No,No,
,,21951,,,No,No,No,
,,21930,,,No,No,No,
,,21908,,,No,No,No,
,,21887,,,No,No,No,
2025,09,21879,2025-09-01,,No,No,No,
,,21842,,,No,No,No,
2025,08,21811,2025-08-12,SECRETA,No,No,No,
2025,08,21810,2025-08-11,SECRETA,No,No,No,
,,21767,,,No,No,No,
2025,07,21662,2025-07-01,SECRETA,No,No,No,
2025,06,21626,2025-06-17,SECRETA,No,No,No,
2025,06,21596,2025-06-10,SECRETA,No,No,No,
2025,06,21559,2025-06-03,SECRETA,No,No,No,
2025,06,21544,2025-06-02,,No,No,No,
2025,05,21519,2025-05-27,SECRETA,No,No,No,
2025,05,21505,2025-05-26,SECRETA,No,No,No,
2025,05,21474,2025-05-13,SECRETA,No,No,No,
2025,05,21433,2025-05-06,SECRETA,No,No,No,
2025,04,21399,2025-04-22,SECRETA,No,No,No,
2025,04,21363,2025-04-15,SECRETA,No,No,No,
2025,04,21332,2025-04-08,SECRETA,No,No,No,
2025,03,21300,2025-03-25,SECRETA,No,No,No,
2025,03,21301,2025-03-25,SECRETA,No,No,No,
2025,03,21273,2025-03-20,SECRETA,No,No,No,
2025,03,21225,2025-03-11,SECRETA,No,No,No,
