Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta,URL_Video
2026,01,22320,2026-01-21,SECRETA,No,No,No,
2026,01,22289,2026-01-14,SECRETA,No,No,No,
2026,01,22262,2026-01-12,SECRETA,No,No,No,
2026,01,22260,2026-01-12,SECRETA,No,No,No,
2026,01,22253,2026-01-07,SECRETA,No,No,No,
2026,01,22230,2026-01-05,SECRETA,No,No,No,
2025,12,22221,2025-12-17,SECRETA,No,No,No,
2025,12,22191,2025-12-10,SECRETA,No,No,No,
2025,12,22167,2025-12-03,SECRETA,No,No,No,
2025,12,22146,2025-12-01,,No,No,No,
2025,11,22143,2025-11-26,SECRETA,No,No,No,
2025,11,22132,2025-11-19,SECRETA,No,No,No,
2025,11,22120,2025-11-05,SECRETA,No,No,No,
2025,10,22072,2025-10-15,SECRETA,No,No,No,
2025,10,22047,2025-10-13,,No,No,No,
2025,10,22028,2025-10-08,SECRETA,No,No,No,
2025,10,21989,2025-10-01,SECRETA,No,No,No,
2025,09,21941,2025-09-15,SECRETA,No,No,No,
2025,09,21938,2025-09-10,SECRETA,No,No,No,
2025,09,21906,2025-09-03,SECRETA,No,No,No,
2025,08,21865,2025-08-20,FRACASADA,No,No,No,
2025,08,21820,2025-08-13,SECRETA,No,No,No,
2025,08,21783,2025-08-06,SECRETA,No,No,No,
2025,07,21734,2025-07-21,SECRETA,No,No,No,
2025,07,21704,2025-07-09,SECRETA,No,No,No,
2025,07,21679,2025-07-07,SECRETA,No,No,No,
2025,07,21671,2025-07-02,SECRETA,No,No,No,
2025,06,21640,2025-06-18,SECRETA,No,No,No,
2025,06,21617,2025-06-16,SECRETA,No,No,No,
2025,06,21576,2025-06-04,SECRETA,No,No,No,
2025,05,21526,2025-05-28,SECRETA,No,No,No,
2025,05,21509,2025-05-26,SECRETA,No,No,No,
2025,05,21497,2025-05-14,SECRETA,No,No,No,
2025,05,21453,2025-05-07,SECRETA,No,No,No,
2025,04,21381,2025-04-16,SECRETA,No,No,No,
2025,04,21358,2025-04-14,SECRETA,No,No,No,
2025,04,21342,2025-04-09,SECRETA,No,No,No,
2025,03,21306,2025-03-26,SECRETA,No,No,No,
2025,03,21261,2025-03-19,SECRETA,No,No,No,
2025,03,21232,2025-03-12,SECRETA,No,No,No,
