Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta,URL_Video
2025,12,22218,2025-12-17,SECRETA,No,No,No,
2025,12,22163,2025-12-03,FRACASADA,No,No,No,
2025,11,22127,2025-11-19,SECRETA,No,No,No,
2025,11,22116,2025-11-05,SECRETA,No,No,No,
2025,10,22069,2025-10-15,SECRETA,No,No,No,
2025,10,22021,2025-10-08,SECRETA,No,No,No,
2025,10,21985,2025-10-01,SECRETA,No,No,No,
2025,09,21937,2025-09-10,,No,No,No,
2025,09,21902,2025-09-03,SECRETA,No,No,No,
2025,08,21859,2025-08-20,SECRETA,No,No,No,
2025,08,21815,2025-08-13,SECRETA,No,No,No,
2025,08,21780,2025-08-06,SECRETA,No,No,No,
2025,07,21748,2025-07-23,SECRETA,No,No,No,
2025,07,21696,2025-07-09,SECRETA,No,No,No,
2025,07,21689,2025-07-08,,No,No,No,
2025,07,21667,2025-07-02,SECRETA,No,No,No,
2025,06,21634,2025-06-18,SECRETA,No,No,No,
2025,06,21605,2025-06-11,SECRETA,No,No,No,
2025,06,21570,2025-06-04,SECRETA,No,No,No,
2025,05,21516,2025-05-28,SECRETA,No,No,No,
2025,05,21493,2025-05-14,SECRETA,No,No,No,
2025,05,21446,2025-05-07,SECRETA,No,No,No,
2025,04,21410,2025-04-23,SECRETA,No,No,No,
2025,04,21375,2025-04-16,SECRETA,No,No,No,
2025,04,21337,2025-04-09,SECRETA,No,No,No,
2025,03,21303,2025-03-26,SECRETA,No,No,No,
2025,03,21260,2025-03-19,SECRETA,No,No,No,
2025,03,21226,2025-03-12,SECRETA,No,No,No,
