Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta,URL_Video
2026,01,22313,2026-01-20,SECRETA,No,No,No,
2026,01,22277,2026-01-13,SECRETA,No,No,No,
2026,01,22239,2026-01-06,SECRETA,No,No,No,
2025,12,22207,2025-12-16,SECRETA,No,No,No,
2025,12,22153,2025-12-02,SECRETA,No,No,No,
2025,11,22107,2025-11-04,SECRETA,No,No,No,
2025,10,22007,2025-10-07,SECRETA,No,No,No,
2025,09,21978,2025-09-30,SECRETA,No,No,No,
2025,09,21953,2025-09-16,SECRETA,No,No,No,
2025,09,21926,2025-09-09,SECRETA,No,No,No,
2025,09,21886,2025-09-02,SECRETA,No,No,No,
2025,08,21843,2025-08-19,SECRETA,No,No,No,
2025,08,21807,2025-08-12,SECRETA,No,No,No,
2025,08,21764,2025-08-05,SECRETA,No,No,No,
2025,07,21740,2025-07-22,SECRETA,No,No,No,
2025,07,21688,2025-07-08,SECRETA,No,No,No,
2025,07,21654,2025-07-01,SECRETA,No,No,No,
2025,06,21625,2025-06-17,SECRETA,No,No,No,
2025,06,21597,2025-06-10,SECRETA,No,No,No,
2025,06,21552,2025-06-03,SECRETA,No,No,No,
2025,05,21518,2025-05-27,SECRETA,No,No,No,
2025,05,21477,2025-05-13,SECRETA,No,No,No,
2025,05,21430,2025-05-06,SECRETA,No,No,No,
2025,04,21400,2025-04-22,SECRETA,No,No,No,
2025,04,21367,2025-04-15,SECRETA,No,No,No,
2025,04,21325,2025-04-08,SECRETA,No,No,No,
2025,03,21250,2025-03-18,SECRETA,No,No,No,
2025,03,21218,2025-03-11,SECRETA,No,No,No,
