Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta,URL_Video
2026,01,22303,2026-01-19,SECRETA,No,No,No,
2026,01,22263,2026-01-12,SECRETA,No,No,No,
2026,01,22231,2026-01-05,SECRETA,No,No,No,
2025,10,22066,2025-10-15,SECRETA,No,No,No,
2025,10,21999,2025-10-06,SECRETA,No,No,No,
2025,09,21967,2025-09-29,SECRETA,No,No,No,
2025,09,21943,2025-09-15,SECRETA,No,No,No,
2025,09,21916,2025-09-08,SECRETA,No,No,No,
2025,09,21873,2025-09-01,SECRETA,No,No,No,
2025,08,21833,2025-08-18,SECRETA,No,No,No,
2025,08,21756,2025-08-04,SECRETA,No,No,No,
2025,07,21715,2025-07-14,SECRETA,No,No,No,
2025,07,21683,2025-07-07,SECRETA,No,No,No,
2025,06,21647,2025-06-30,SECRETA,No,No,No,
2025,06,21615,2025-06-16,SECRETA,No,No,No,
2025,06,21586,2025-06-09,SECRETA,No,No,No,
2025,06,21542,2025-06-02,SECRETA,No,No,No,
2025,05,21467,2025-05-12,SECRETA,No,No,No,
2025,05,21425,2025-05-05,SECRETA,No,No,No,
2025,04,21389,2025-04-21,SECRETA,No,No,No,
2025,04,21355,2025-04-14,SECRETA,No,No,No,
2025,03,21244,2025-03-17,SECRETA,No,No,No,
