Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta,URL_Video
2026,01,22266,2026-01-12,FRACASADA,No,No,No,
2025,09,21911,2025-09-08,SECRETA,No,No,No,
2025,09,21874,2025-09-01,,No,No,No,
2025,08,21847,2025-08-19,FRACASADA,No,No,No,
2025,08,21825,2025-08-13,SECRETA,No,No,No,
2025,08,21788,2025-08-06,SECRETA,No,No,No,
2025,08,21759,2025-08-04,SECRETA,No,No,No,
2025,07,21745,2025-07-22,SECRETA,No,No,No,
2025,07,21693,2025-07-08,,No,No,No,
2025,07,21658,2025-07-01,,No,No,No,
2025,06,21629,2025-06-17,,No,No,No,
2025,06,21601,2025-06-10,,No,No,No,
2025,06,21561,2025-06-03,SECRETA,No,No,No,
2025,05,21523,2025-05-27,,No,No,No,
2025,05,21480,2025-05-13,SECRETA,No,No,No,
2025,05,21438,2025-05-06,SECRETA,No,No,No,
2025,04,21405,2025-04-22,SECRETA,No,No,No,
2025,04,21372,2025-04-15,,No,No,No,
2025,03,21295,2025-03-25,,No,No,No,
2025,03,21252,2025-03-18,SECRETA,No,No,No,
