Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta
2026,Enero,39,14 ene. 2026,CITADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3318&prmIdSesion=81174,No,No
2025,Octubre,38,27 oct. 2025,CITADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3318&prmIdSesion=80885,No,No
2025,Octubre,38,06 oct. 2025,SUSPENDIDA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3318&prmIdSesion=80787,No,No
2025,Agosto,38,20 ago. 2025,SUSPENDIDA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3318&prmIdSesion=80599,No,No
2025,Agosto,38,06 ago. 2025,SUSPENDIDA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3318&prmIdSesion=80513,No,No
2025,Julio,37,21 jul. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3318&prmIdSesion=80430,No,No
2025,Junio,36,02 jun. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3318&prmIdSesion=80142,No,No
2025,Abril,35,14 abr. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3318&prmIdSesion=79880,No,No
2025,Marzo,34,24 mar. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3318&prmIdSesion=79794,No,No
2025,Marzo,33,10 mar. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3318&prmIdSesion=79685,No,No
2025,Enero,32,20 ene. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3318&prmIdSesion=79557,No,No
2025,Enero,31,15 ene. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3318&prmIdSesion=79513,No,No
2025,Enero,30,13 ene. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3318&prmIdSesion=79494,No,No
2025,Enero,29,06 ene. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3318&prmIdSesion=79457,No,No
2024,Diciembre,28,09 dic. 2024,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3318&prmIdSesion=79315,No,No
2024,Diciembre,27,02 dic. 2024,CITADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3318&prmIdSesion=79223,No,No
2024,Noviembre,26,04 nov. 2024,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3318&prmIdSesion=79129,No,No
2024,Octubre,25,07 oct. 2024,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3318&prmIdSesion=78966,No,No
2024,Julio,24,29 jul. 2024,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3318&prmIdSesion=78458,No,No
2024,Junio,23,03 jun. 2024,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3318&prmIdSesion=77995,No,No
2024,Enero,22,29 ene. 2024,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3318&prmIdSesion=77085,No,No
2024,Enero,21,24 ene. 2024,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3318&prmIdSesion=77103,No,No
2024,Enero,20,22 ene. 2024,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3318&prmIdSesion=76988,No,No
2024,Enero,19,08 ene. 2024,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3318&prmIdSesion=76867,No,No
2023,Diciembre,18,18 dic. 2023,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3318&prmIdSesion=76720,No,No
2023,Noviembre,17,20 nov. 2023,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3318&prmIdSesion=76380,No,No
2023,Noviembre,16,06 nov. 2023,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3318&prmIdSesion=76242,No,No
2023,Octubre,15,16 oct. 2023,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3318&prmIdSesion=76036,No,No
2023,Septiembre,14,06 sep. 2023,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3318&prmIdSesion=75698,No,No
2023,Agosto,13,28 ago. 2023,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3318&prmIdSesion=75556,No,No
2023,Julio,12,24 jul. 2023,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3318&prmIdSesion=75296,No,No
2023,Junio,11,14 jun. 2023,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3318&prmIdSesion=75058,No,No
2023,Mayo,10,17 may. 2023,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3318&prmIdSesion=74800,No,No
2023,Mayo,9,15 may. 2023,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3318&prmIdSesion=74719,No,No
2023,Abril,8,26 abr. 2023,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3318&prmIdSesion=74598,No,No
2023,Abril,7,17 abr. 2023,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3318&prmIdSesion=74496,No,No
2023,Abril,6,05 abr. 2023,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3318&prmIdSesion=74357,No,No
