Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta
2026,Marzo,125,03 mar. 2026,CITADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3323&prmIdSesion=81302,No,No
2026,Enero,124,27 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3323&prmIdSesion=81246,No,No
2026,Enero,123,20 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3323&prmIdSesion=81191,No,No
2026,Enero,122,13 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3323&prmIdSesion=81154,No,No
2026,Enero,121,06 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3323&prmIdSesion=81119,No,No
2025,Diciembre,120,16 dic. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3323&prmIdSesion=81087,No,No
2025,Diciembre,119,09 dic. 2025,FRACASADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3323&prmIdSesion=81042,No,No
2025,Noviembre,118,25 nov. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3323&prmIdSesion=80981,No,No
2025,Noviembre,117,04 nov. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3323&prmIdSesion=80931,No,No
2025,Octubre,116,28 oct. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3323&prmIdSesion=80886,No,No
2025,Octubre,115,14 oct. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3323&prmIdSesion=80842,No,No
2025,Octubre,115,07 oct. 2025,SUSPENDIDA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3323&prmIdSesion=80802,No,No
2025,Septiembre,114,30 sep. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3323&prmIdSesion=80776,No,No
2025,Septiembre,113,16 sep. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3323&prmIdSesion=80699,No,No
2025,Septiembre,112,09 sep. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3323&prmIdSesion=80686,No,No
2025,Septiembre,111,02 sep. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3323&prmIdSesion=80631,No,No
2025,Agosto,110,19 ago. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3323&prmIdSesion=80588,No,No
2025,Agosto,109,12 ago. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3323&prmIdSesion=80544,No,No
2025,Agosto,108,05 ago. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3323&prmIdSesion=80487,No,No
2025,Julio,107,22 jul. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3323&prmIdSesion=80429,No,No
2025,Julio,106,15 jul. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3323&prmIdSesion=80375,No,No
2025,Julio,106,08 jul. 2025,SUSPENDIDA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3323&prmIdSesion=80338,No,No
2025,Julio,105,01 jul. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3323&prmIdSesion=80291,No,No
2025,Junio,104,17 jun. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3323&prmIdSesion=80248,No,No
2025,Junio,103,10 jun. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3323&prmIdSesion=80200,No,No
2025,Junio,102,03 jun. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3323&prmIdSesion=80135,No,No
2025,Mayo,102,20 may. 2025,SUSPENDIDA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3323&prmIdSesion=80095,No,No
2025,Mayo,101,13 may. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3323&prmIdSesion=80061,No,No
2025,Mayo,100,06 may. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3323&prmIdSesion=80004,No,No
2025,Abril,99,22 abr. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3323&prmIdSesion=79942,No,No
2025,Abril,98,15 abr. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3323&prmIdSesion=79892,No,No
2025,Abril,97,08 abr. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3323&prmIdSesion=79842,No,No
2025,Marzo,96,25 mar. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3323&prmIdSesion=79796,No,No
2025,Marzo,95,18 mar. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3323&prmIdSesion=79713,No,No
2025,Marzo,94,11 mar. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3323&prmIdSesion=79681,No,No
2025,Marzo,93,04 mar. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3323&prmIdSesion=79620,No,No
2025,Enero,92,21 ene. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3323&prmIdSesion=79554,No,No
2025,Enero,91,14 ene. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3323&prmIdSesion=79495,No,No
2025,Enero,90,07 ene. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3323&prmIdSesion=79378,No,No
2024,Diciembre,89,17 dic. 2024,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3323&prmIdSesion=79353,No,No
2024,Diciembre,88,10 dic. 2024,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3323&prmIdSesion=79295,No,No
2024,Diciembre,87,03 dic. 2024,FRACASADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3323&prmIdSesion=79260,No,No
2024,Noviembre,86,26 nov. 2024,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3323&prmIdSesion=79217,No,No
2024,Noviembre,85,19 nov. 2024,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3323&prmIdSesion=79162,No,No
2024,Noviembre,84,05 nov. 2024,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3323&prmIdSesion=79131,No,No
