Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta
2026,Marzo,225,03 mar. 2026,CITADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3317&prmIdSesion=81303,No,No
2026,Enero,224,27 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3317&prmIdSesion=81236,https://www.camara.cl/verDoc.aspx?prmID=381190&prmTipo=DOCUMENTO_COMISION,No
2026,Enero,223,20 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3317&prmIdSesion=81212,https://www.camara.cl/verDoc.aspx?prmID=379992&prmTipo=DOCUMENTO_COMISION,No
2026,Enero,222,13 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3317&prmIdSesion=81143,https://www.camara.cl/verDoc.aspx?prmID=379237&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=379748&prmTipo=DOCUMENTO_COMISION
2026,Enero,221,06 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3317&prmIdSesion=81106,https://www.camara.cl/verDoc.aspx?prmID=378245&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=379747&prmTipo=DOCUMENTO_COMISION
2025,Diciembre,220,16 dic. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3317&prmIdSesion=81063,https://www.camara.cl/verDoc.aspx?prmID=376450&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=379746&prmTipo=DOCUMENTO_COMISION
2025,Diciembre,219,09 dic. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3317&prmIdSesion=81036,https://www.camara.cl/verDoc.aspx?prmID=376158&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=379745&prmTipo=DOCUMENTO_COMISION
2025,Diciembre,218,04 dic. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3317&prmIdSesion=81018,https://www.camara.cl/verDoc.aspx?prmID=375347&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=379744&prmTipo=DOCUMENTO_COMISION
2025,Diciembre,217,02 dic. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3317&prmIdSesion=81017,https://www.camara.cl/verDoc.aspx?prmID=374907&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=376649&prmTipo=DOCUMENTO_COMISION
2025,Noviembre,216,25 nov. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3317&prmIdSesion=80976,https://www.camara.cl/verDoc.aspx?prmID=374259&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=376647&prmTipo=DOCUMENTO_COMISION
2025,Noviembre,215,04 nov. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3317&prmIdSesion=80897,https://www.camara.cl/verDoc.aspx?prmID=373171&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=373452&prmTipo=DOCUMENTO_COMISION
2025,Octubre,214,28 oct. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3317&prmIdSesion=80881,https://www.camara.cl/verDoc.aspx?prmID=372369&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=373451&prmTipo=DOCUMENTO_COMISION
2025,Octubre,213,14 oct. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3317&prmIdSesion=80833,https://www.camara.cl/verDoc.aspx?prmID=371061&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=373450&prmTipo=DOCUMENTO_COMISION
2025,Octubre,212,07 oct. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3317&prmIdSesion=80783,https://www.camara.cl/verDoc.aspx?prmID=371498&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=371562&prmTipo=DOCUMENTO_COMISION
2025,Septiembre,211,30 sep. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3317&prmIdSesion=80733,https://www.camara.cl/verDoc.aspx?prmID=368980&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=369729&prmTipo=DOCUMENTO_COMISION
