Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta
2026,Marzo,311,04 mar. 2026,CITADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3301&prmIdSesion=81300,No,No
2026,Marzo,310,03 mar. 2026,CITADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3301&prmIdSesion=81299,No,No
2026,Enero,309,28 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3301&prmIdSesion=81250,No,No
2026,Enero,308,27 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3301&prmIdSesion=81249,https://www.camara.cl/verDoc.aspx?prmID=381082&prmTipo=DOCUMENTO_COMISION,No
2026,Enero,307,21 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3301&prmIdSesion=81205,https://www.camara.cl/verDoc.aspx?prmID=380324&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=380491&prmTipo=DOCUMENTO_COMISION
2026,Enero,306,20 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3301&prmIdSesion=81198,https://www.camara.cl/verDoc.aspx?prmID=379991&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=380489&prmTipo=DOCUMENTO_COMISION
2026,Enero,306,14 ene. 2026,SUSPENDIDA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3301&prmIdSesion=81157,No,No
2026,Enero,305,13 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3301&prmIdSesion=81158,https://www.camara.cl/verDoc.aspx?prmID=379281&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=379585&prmTipo=DOCUMENTO_COMISION
2026,Enero,304,08 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3301&prmIdSesion=81141,https://www.camara.cl/verDoc.aspx?prmID=378596&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=379586&prmTipo=DOCUMENTO_COMISION
2026,Enero,303,07 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3301&prmIdSesion=81128,https://www.camara.cl/verDoc.aspx?prmID=378492&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=379761&prmTipo=DOCUMENTO_COMISION
2026,Enero,302,06 ene. 2026,CITADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3301&prmIdSesion=81127,https://www.camara.cl/verDoc.aspx?prmID=378242&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=379415&prmTipo=DOCUMENTO_COMISION
2025,Diciembre,301,17 dic. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3301&prmIdSesion=81085,https://www.camara.cl/verDoc.aspx?prmID=376580&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=379901&prmTipo=DOCUMENTO_COMISION
2025,Diciembre,300,16 dic. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3301&prmIdSesion=81089,https://www.camara.cl/verDoc.aspx?prmID=376406&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=379416&prmTipo=DOCUMENTO_COMISION
2025,Diciembre,299,10 dic. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3301&prmIdSesion=81049,https://www.camara.cl/verDoc.aspx?prmID=375984&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=376205&prmTipo=DOCUMENTO_COMISION
2025,Diciembre,298,09 dic. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3301&prmIdSesion=81048,https://www.camara.cl/verDoc.aspx?prmID=375624&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=377794&prmTipo=DOCUMENTO_COMISION
2025,Diciembre,297,03 dic. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3301&prmIdSesion=81025,https://www.camara.cl/verDoc.aspx?prmID=375198&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=377793&prmTipo=DOCUMENTO_COMISION
2025,Diciembre,296,02 dic. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3301&prmIdSesion=81014,https://www.camara.cl/verDoc.aspx?prmID=374887&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=377792&prmTipo=DOCUMENTO_COMISION
2025,Noviembre,296,26 nov. 2025,SUSPENDIDA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3301&prmIdSesion=80963,No,No
