Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta
2026,Marzo,155,04 mar. 2026,CITADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3322&prmIdSesion=81290,No,No
2026,Enero,155,28 ene. 2026,SUSPENDIDA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3322&prmIdSesion=81244,No,No
2026,Enero,154,27 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3322&prmIdSesion=81242,https://www.camara.cl/verDoc.aspx?prmID=380787&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=381349&prmTipo=DOCUMENTO_COMISION
2026,Enero,153,21 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3322&prmIdSesion=81201,https://www.camara.cl/verDoc.aspx?prmID=380146&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=380479&prmTipo=DOCUMENTO_COMISION
2026,Enero,152,20 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3322&prmIdSesion=81207,https://www.camara.cl/verDoc.aspx?prmID=379816&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=380478&prmTipo=DOCUMENTO_COMISION
2026,Enero,151,15 ene. 2026,FRACASADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3322&prmIdSesion=81160,No,https://www.camara.cl/verDoc.aspx?prmID=379674&prmTipo=DOCUMENTO_COMISION
2026,Enero,150,14 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3322&prmIdSesion=81131,https://www.camara.cl/verDoc.aspx?prmID=379320&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=379667&prmTipo=DOCUMENTO_COMISION
2026,Enero,149,07 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3322&prmIdSesion=81107,https://www.camara.cl/verDoc.aspx?prmID=378408&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=379126&prmTipo=DOCUMENTO_COMISION
2025,Diciembre,148,17 dic. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3322&prmIdSesion=81076,https://www.camara.cl/verDoc.aspx?prmID=376510&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=377783&prmTipo=DOCUMENTO_COMISION
2025,Diciembre,147,10 dic. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3322&prmIdSesion=81040,https://www.camara.cl/verDoc.aspx?prmID=375843&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=376506&prmTipo=DOCUMENTO_COMISION
