Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta
2026,Marzo,132,03 mar. 2026,CITADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3331&prmIdSesion=81293,No,No
2026,Enero,131,27 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3331&prmIdSesion=81239,https://www.camara.cl/verDoc.aspx?prmID=380964&prmTipo=DOCUMENTO_COMISION,No
2026,Enero,130,20 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3331&prmIdSesion=81190,https://www.camara.cl/verDoc.aspx?prmID=380125&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=380638&prmTipo=DOCUMENTO_COMISION
2026,Enero,129,13 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3331&prmIdSesion=81139,https://www.camara.cl/verDoc.aspx?prmID=379238&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=379681&prmTipo=DOCUMENTO_COMISION
2026,Enero,128,06 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3331&prmIdSesion=81104,https://www.camara.cl/verDoc.aspx?prmID=379551&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=378476&prmTipo=DOCUMENTO_COMISION
2025,Diciembre,127,16 dic. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3331&prmIdSesion=81065,https://www.camara.cl/verDoc.aspx?prmID=376457&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=378946&prmTipo=DOCUMENTO_COMISION
2025,Diciembre,126,09 dic. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3331&prmIdSesion=81030,https://www.camara.cl/verDoc.aspx?prmID=375728&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=375995&prmTipo=DOCUMENTO_COMISION
2025,Diciembre,125,02 dic. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3331&prmIdSesion=80993,https://www.camara.cl/verDoc.aspx?prmID=375036&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=375994&prmTipo=DOCUMENTO_COMISION
2025,Noviembre,125,25 nov. 2025,SUSPENDIDA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3331&prmIdSesion=80936,No,No
2025,Noviembre,125,04 nov. 2025,SUSPENDIDA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3331&prmIdSesion=80909,No,No
2025,Octubre,124,28 oct. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3331&prmIdSesion=80865,https://www.camara.cl/verDoc.aspx?prmID=372414&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=375991&prmTipo=DOCUMENTO_COMISION
2025,Octubre,123,14 oct. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3331&prmIdSesion=80823,https://www.camara.cl/verDoc.aspx?prmID=371225&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=371399&prmTipo=DOCUMENTO_COMISION
2025,Octubre,122,07 oct. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3331&prmIdSesion=80786,https://www.camara.cl/verDoc.aspx?prmID=372580&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=371398&prmTipo=DOCUMENTO_COMISION
2025,Septiembre,121,30 sep. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3331&prmIdSesion=80731,https://www.camara.cl/verDoc.aspx?prmID=369152&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=369534&prmTipo=DOCUMENTO_COMISION
2025,Septiembre,120,16 sep. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3331&prmIdSesion=80713,https://www.camara.cl/verDoc.aspx?prmID=368196&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=368291&prmTipo=DOCUMENTO_COMISION
2025,Septiembre,119,09 sep. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3331&prmIdSesion=80674,https://www.camara.cl/verDoc.aspx?prmID=367180&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=367283&prmTipo=DOCUMENTO_COMISION
2025,Septiembre,118,02 sep. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3331&prmIdSesion=80616,https://www.camara.cl/verDoc.aspx?prmID=371858&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=366443&prmTipo=DOCUMENTO_COMISION
2025,Agosto,117,19 ago. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3331&prmIdSesion=80575,https://www.camara.cl/verDoc.aspx?prmID=364728&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=365064&prmTipo=DOCUMENTO_COMISION
2025,Agosto,116,12 ago. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3331&prmIdSesion=80530,https://www.camara.cl/verDoc.aspx?prmID=363648&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=363946&prmTipo=DOCUMENTO_COMISION
2025,Agosto,115,05 ago. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3331&prmIdSesion=80480,https://www.camara.cl/verDoc.aspx?prmID=362215&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=363774&prmTipo=DOCUMENTO_COMISION
2025,Julio,114,22 jul. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3331&prmIdSesion=80403,https://www.camara.cl/verDoc.aspx?prmID=360007&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=361499&prmTipo=DOCUMENTO_COMISION
2025,Julio,114,15 jul. 2025,SUSPENDIDA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3331&prmIdSesion=80367,No,No
2025,Julio,113,08 jul. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3331&prmIdSesion=80336,https://www.camara.cl/verDoc.aspx?prmID=357679&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=358072&prmTipo=DOCUMENTO_COMISION
2025,Julio,112,07 jul. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3331&prmIdSesion=80312,https://www.camara.cl/verDoc.aspx?prmID=365887&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=357476&prmTipo=DOCUMENTO_COMISION
2025,Julio,111,01 jul. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3331&prmIdSesion=80275,https://www.camara.cl/verDoc.aspx?prmID=357221&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=357835&prmTipo=DOCUMENTO_COMISION
2025,Junio,110,17 jun. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3331&prmIdSesion=80219,https://www.camara.cl/verDoc.aspx?prmID=355388&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=355601&prmTipo=DOCUMENTO_COMISION
2025,Junio,109,10 jun. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3331&prmIdSesion=80173,https://www.camara.cl/verDoc.aspx?prmID=354477&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=355033&prmTipo=DOCUMENTO_COMISION
2025,Junio,108,09 jun. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3331&prmIdSesion=80172,https://www.camara.cl/verDoc.aspx?prmID=354186&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=355034&prmTipo=DOCUMENTO_COMISION
2025,Junio,107,03 jun. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3331&prmIdSesion=80121,https://www.camara.cl/verDoc.aspx?prmID=352971&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=353916&prmTipo=DOCUMENTO_COMISION
2025,Mayo,106,19 may. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3331&prmIdSesion=80087,https://www.camara.cl/verDoc.aspx?prmID=351871&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=352070&prmTipo=DOCUMENTO_COMISION
2025,Mayo,105,13 may. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3331&prmIdSesion=80053,https://www.camara.cl/verDoc.aspx?prmID=350486&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=352077&prmTipo=DOCUMENTO_COMISION
2025,Mayo,104,08 may. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3331&prmIdSesion=80014,https://www.camara.cl/verDoc.aspx?prmID=349442&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=350905&prmTipo=DOCUMENTO_COMISION
2025,Mayo,103,06 may. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3331&prmIdSesion=79988,https://www.camara.cl/verDoc.aspx?prmID=349334&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=352076&prmTipo=DOCUMENTO_COMISION
2025,Abril,102,22 abr. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3331&prmIdSesion=79929,https://www.camara.cl/verDoc.aspx?prmID=347307&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=347670&prmTipo=DOCUMENTO_COMISION
2025,Abril,101,15 abr. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3331&prmIdSesion=79869,https://www.camara.cl/verDoc.aspx?prmID=346387&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=351837&prmTipo=DOCUMENTO_COMISION
