Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta
2026,Marzo,159,03 mar. 2026,CITADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3310&prmIdSesion=81277,No,No
2026,Enero,158,27 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3310&prmIdSesion=81217,https://www.camara.cl/verDoc.aspx?prmID=381063&prmTipo=DOCUMENTO_COMISION,No
2026,Enero,157,20 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3310&prmIdSesion=81175,https://www.camara.cl/verDoc.aspx?prmID=380085&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=380471&prmTipo=DOCUMENTO_COMISION
2026,Enero,156,13 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3310&prmIdSesion=81130,https://www.camara.cl/verDoc.aspx?prmID=379273&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=379672&prmTipo=DOCUMENTO_COMISION
2026,Enero,156,06 ene. 2026,SUSPENDIDA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3310&prmIdSesion=81093,No,No
2025,Diciembre,155,16 dic. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3310&prmIdSesion=81059,https://www.camara.cl/verDoc.aspx?prmID=376564&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=378864&prmTipo=DOCUMENTO_COMISION
2025,Diciembre,154,09 dic. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3310&prmIdSesion=81027,https://www.camara.cl/verDoc.aspx?prmID=375829&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=376107&prmTipo=DOCUMENTO_COMISION
2025,Diciembre,153,02 dic. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3310&prmIdSesion=80983,https://www.camara.cl/verDoc.aspx?prmID=375091&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=375469&prmTipo=DOCUMENTO_COMISION
2025,Noviembre,153,25 nov. 2025,SUSPENDIDA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3310&prmIdSesion=80933,No,No
2025,Noviembre,153,04 nov. 2025,SUSPENDIDA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3310&prmIdSesion=80900,No,No
