Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta
2026,Marzo,201,03 mar. 2026,CITADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3312&prmIdSesion=81292,No,No
2026,Enero,200,28 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3312&prmIdSesion=81253,https://www.camara.cl/verDoc.aspx?prmID=381336&prmTipo=DOCUMENTO_COMISION,No
2026,Enero,199,28 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3312&prmIdSesion=81272,https://www.camara.cl/verDoc.aspx?prmID=381153&prmTipo=DOCUMENTO_COMISION,No
2026,Enero,198,27 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3312&prmIdSesion=81252,https://www.camara.cl/verDoc.aspx?prmID=380933&prmTipo=DOCUMENTO_COMISION,No
2026,Enero,197,21 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3312&prmIdSesion=81204,https://www.camara.cl/verDoc.aspx?prmID=380335&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=380855&prmTipo=DOCUMENTO_COMISION
2026,Enero,196,20 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3312&prmIdSesion=81182,https://www.camara.cl/verDoc.aspx?prmID=380048&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=380854&prmTipo=DOCUMENTO_COMISION
2026,Enero,195,13 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3312&prmIdSesion=81155,https://www.camara.cl/verDoc.aspx?prmID=379243&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=379862&prmTipo=DOCUMENTO_COMISION
2026,Enero,194,06 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3312&prmIdSesion=81115,https://www.camara.cl/verDoc.aspx?prmID=378305&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=379075&prmTipo=DOCUMENTO_COMISION
2025,Diciembre,193,16 dic. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3312&prmIdSesion=81078,https://www.camara.cl/verDoc.aspx?prmID=376379&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=378103&prmTipo=DOCUMENTO_COMISION
2025,Diciembre,192,09 dic. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3312&prmIdSesion=81032,https://www.camara.cl/verDoc.aspx?prmID=375645&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=376202&prmTipo=DOCUMENTO_COMISION
