Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta
2026,Marzo,109,03 mar. 2026,CITADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3329&prmIdSesion=81275,No,No
2026,Enero,108,27 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3329&prmIdSesion=81233,https://www.camara.cl/verDoc.aspx?prmID=381117&prmTipo=DOCUMENTO_COMISION,No
2026,Enero,107,20 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3329&prmIdSesion=81176,https://www.camara.cl/verDoc.aspx?prmID=380100&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=381125&prmTipo=DOCUMENTO_COMISION
2026,Enero,106,13 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3329&prmIdSesion=81135,https://www.camara.cl/verDoc.aspx?prmID=379385&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=380129&prmTipo=DOCUMENTO_COMISION
2026,Enero,105,06 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3329&prmIdSesion=81091,https://www.camara.cl/verDoc.aspx?prmID=378409&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=379279&prmTipo=DOCUMENTO_COMISION
2025,Diciembre,104,09 dic. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3329&prmIdSesion=81028,https://www.camara.cl/verDoc.aspx?prmID=375699&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=378338&prmTipo=DOCUMENTO_COMISION
2025,Diciembre,103,02 dic. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3329&prmIdSesion=80977,https://www.camara.cl/verDoc.aspx?prmID=374970&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=375912&prmTipo=DOCUMENTO_COMISION
2025,Noviembre,103,25 nov. 2025,SUSPENDIDA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3329&prmIdSesion=80960,No,No
2025,Octubre,103,28 oct. 2025,SUSPENDIDA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3329&prmIdSesion=80861,No,No
2025,Octubre,102,14 oct. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3329&prmIdSesion=80840,https://www.camara.cl/verDoc.aspx?prmID=371256&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=375059&prmTipo=DOCUMENTO_COMISION
2025,Octubre,101,07 oct. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3329&prmIdSesion=80772,https://www.camara.cl/verDoc.aspx?prmID=369739&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=371267&prmTipo=DOCUMENTO_COMISION
2025,Septiembre,101,30 sep. 2025,SUSPENDIDA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3329&prmIdSesion=80728,No,No
2025,Septiembre,100,16 sep. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3329&prmIdSesion=80717,https://www.camara.cl/verDoc.aspx?prmID=368191&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=370191&prmTipo=DOCUMENTO_COMISION
2025,Septiembre,99,09 sep. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3329&prmIdSesion=80658,https://www.camara.cl/verDoc.aspx?prmID=367151&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=368238&prmTipo=DOCUMENTO_COMISION
2025,Septiembre,98,02 sep. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3329&prmIdSesion=80654,https://www.camara.cl/verDoc.aspx?prmID=366185&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=367159&prmTipo=DOCUMENTO_COMISION
2025,Agosto,97,12 ago. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3329&prmIdSesion=80515,https://www.camara.cl/verDoc.aspx?prmID=363759&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=366179&prmTipo=DOCUMENTO_COMISION
