Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta
2026,Marzo,117,02 mar. 2026,CITADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3315&prmIdSesion=81274,No,No
2026,Enero,116,26 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3315&prmIdSesion=81209,https://www.camara.cl/verDoc.aspx?prmID=380550&prmTipo=DOCUMENTO_COMISION,No
2026,Enero,115,19 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3315&prmIdSesion=81165,https://www.camara.cl/verDoc.aspx?prmID=379685&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=380262&prmTipo=DOCUMENTO_COMISION
2026,Enero,114,12 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3315&prmIdSesion=81123,https://www.camara.cl/verDoc.aspx?prmID=378938&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=381293&prmTipo=DOCUMENTO_COMISION
2026,Enero,113,05 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3315&prmIdSesion=81080,https://www.camara.cl/verDoc.aspx?prmID=381597&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=378835&prmTipo=DOCUMENTO_COMISION
2025,Diciembre,113,15 dic. 2025,SUSPENDIDA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3315&prmIdSesion=81022,No,No
2025,Diciembre,112,01 dic. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3315&prmIdSesion=80992,https://www.camara.cl/verDoc.aspx?prmID=374716&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=375470&prmTipo=DOCUMENTO_COMISION
2025,Noviembre,111,24 nov. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3315&prmIdSesion=80932,https://www.camara.cl/verDoc.aspx?prmID=373921&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=375058&prmTipo=DOCUMENTO_COMISION
2025,Octubre,110,27 oct. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3315&prmIdSesion=80857,https://www.camara.cl/verDoc.aspx?prmID=372071&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=372611&prmTipo=DOCUMENTO_COMISION
2025,Octubre,109,13 oct. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3315&prmIdSesion=80814,https://www.camara.cl/verDoc.aspx?prmID=371550&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=372612&prmTipo=DOCUMENTO_COMISION
