Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta
2026,Marzo,238,03 mar. 2026,CITADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3314&prmIdSesion=81285,No,No
2026,Marzo,237,02 mar. 2026,CITADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3314&prmIdSesion=81282,No,No
2026,Enero,236,27 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3314&prmIdSesion=81218,https://www.camara.cl/verDoc.aspx?prmID=380818&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=381585&prmTipo=DOCUMENTO_COMISION
2026,Enero,235,26 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3314&prmIdSesion=81235,https://www.camara.cl/verDoc.aspx?prmID=380721&prmTipo=DOCUMENTO_COMISION,No
2026,Enero,234,20 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3314&prmIdSesion=81194,https://www.camara.cl/verDoc.aspx?prmID=380093&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=380842&prmTipo=DOCUMENTO_COMISION
2026,Enero,234,19 ene. 2026,SUSPENDIDA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3314&prmIdSesion=81171,No,No
2026,Enero,233,14 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3314&prmIdSesion=81170,https://www.camara.cl/verDoc.aspx?prmID=379315&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=380152&prmTipo=DOCUMENTO_COMISION
2026,Enero,232,13 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3314&prmIdSesion=81148,https://www.camara.cl/verDoc.aspx?prmID=379216&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=380841&prmTipo=DOCUMENTO_COMISION
2026,Enero,231,07 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3314&prmIdSesion=81117,https://www.camara.cl/verDoc.aspx?prmID=378539&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=380840&prmTipo=DOCUMENTO_COMISION
2026,Enero,230,06 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3314&prmIdSesion=81096,https://www.camara.cl/verDoc.aspx?prmID=377999&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=379179&prmTipo=DOCUMENTO_COMISION
