Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta
2026,Marzo,151,04 mar. 2026,CITADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3309&prmIdSesion=81284,No,No
2026,Marzo,150,04 mar. 2026,CITADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3309&prmIdSesion=81283,No,No
2026,Enero,149,28 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3309&prmIdSesion=81226,https://www.camara.cl/verDoc.aspx?prmID=381260&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=381582&prmTipo=DOCUMENTO_COMISION
2026,Enero,148,21 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3309&prmIdSesion=81180,https://www.camara.cl/verDoc.aspx?prmID=380319&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=381296&prmTipo=DOCUMENTO_COMISION
2026,Enero,148,14 ene. 2026,SUSPENDIDA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3309&prmIdSesion=81144,No,No
2026,Enero,147,07 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3309&prmIdSesion=81110,https://www.camara.cl/verDoc.aspx?prmID=378472&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=381295&prmTipo=DOCUMENTO_COMISION
2025,Diciembre,146,17 dic. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3309&prmIdSesion=81064,https://www.camara.cl/verDoc.aspx?prmID=376522&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=378525&prmTipo=DOCUMENTO_COMISION
2025,Diciembre,145,10 dic. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3309&prmIdSesion=81047,https://www.camara.cl/verDoc.aspx?prmID=376001&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=376591&prmTipo=DOCUMENTO_COMISION
2025,Diciembre,144,03 dic. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3309&prmIdSesion=80989,https://www.camara.cl/verDoc.aspx?prmID=375283&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=376051&prmTipo=DOCUMENTO_COMISION
2025,Noviembre,144,26 nov. 2025,SUSPENDIDA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3309&prmIdSesion=80982,No,No
