Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta
2026,Marzo,130,04 mar. 2026,CITADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3330&prmIdSesion=81304,No,No
2026,Enero,129,28 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3330&prmIdSesion=81255,https://www.camara.cl/verDoc.aspx?prmID=381343&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=381546&prmTipo=DOCUMENTO_COMISION
2026,Enero,128,21 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3330&prmIdSesion=81185,https://www.camara.cl/verDoc.aspx?prmID=380202&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=381105&prmTipo=DOCUMENTO_COMISION
2026,Enero,128,14 ene. 2026,SUSPENDIDA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3330&prmIdSesion=81161,No,No
2026,Enero,127,07 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3330&prmIdSesion=81111,https://www.camara.cl/verDoc.aspx?prmID=378455&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=379407&prmTipo=DOCUMENTO_COMISION
2025,Diciembre,126,17 dic. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3330&prmIdSesion=81082,https://www.camara.cl/verDoc.aspx?prmID=376579&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=377046&prmTipo=DOCUMENTO_COMISION
2025,Diciembre,125,10 dic. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3330&prmIdSesion=81046,https://www.camara.cl/verDoc.aspx?prmID=376067&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=376464&prmTipo=DOCUMENTO_COMISION
2025,Diciembre,124,03 dic. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3330&prmIdSesion=81007,https://www.camara.cl/verDoc.aspx?prmID=375179&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=376216&prmTipo=DOCUMENTO_COMISION
2025,Noviembre,124,26 nov. 2025,SUSPENDIDA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3330&prmIdSesion=80938,No,No
2025,Octubre,123,15 oct. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3330&prmIdSesion=80826,https://www.camara.cl/verDoc.aspx?prmID=371412&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=371781&prmTipo=DOCUMENTO_COMISION
2025,Octubre,122,08 oct. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3330&prmIdSesion=80805,https://www.camara.cl/verDoc.aspx?prmID=370362&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=371530&prmTipo=DOCUMENTO_COMISION
2025,Octubre,121,01 oct. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3330&prmIdSesion=80736,https://www.camara.cl/verDoc.aspx?prmID=369509&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=370632&prmTipo=DOCUMENTO_COMISION
2025,Septiembre,120,10 sep. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3330&prmIdSesion=80678,https://www.camara.cl/verDoc.aspx?prmID=367509&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=368664&prmTipo=DOCUMENTO_COMISION
2025,Septiembre,119,03 sep. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3330&prmIdSesion=80613,https://www.camara.cl/verDoc.aspx?prmID=366452&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=367274&prmTipo=DOCUMENTO_COMISION
2025,Agosto,118,20 ago. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3330&prmIdSesion=80572,https://www.camara.cl/verDoc.aspx?prmID=365007&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=365268&prmTipo=DOCUMENTO_COMISION
2025,Agosto,117,13 ago. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3330&prmIdSesion=80540,https://www.camara.cl/verDoc.aspx?prmID=364149&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=364489&prmTipo=DOCUMENTO_COMISION
2025,Agosto,116,06 ago. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3330&prmIdSesion=80473,https://www.camara.cl/verDoc.aspx?prmID=362939&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=363238&prmTipo=DOCUMENTO_COMISION
2025,Julio,115,23 jul. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3330&prmIdSesion=80374,https://www.camara.cl/verDoc.aspx?prmID=360290&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=360590&prmTipo=DOCUMENTO_COMISION
2025,Julio,114,09 jul. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3330&prmIdSesion=80316,https://www.camara.cl/verDoc.aspx?prmID=358027&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=359542&prmTipo=DOCUMENTO_COMISION
2025,Julio,113,02 jul. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3330&prmIdSesion=80290,https://www.camara.cl/verDoc.aspx?prmID=356996&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=358306&prmTipo=DOCUMENTO_COMISION
2025,Junio,112,18 jun. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3330&prmIdSesion=80246,https://www.camara.cl/verDoc.aspx?prmID=355746&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=358143&prmTipo=DOCUMENTO_COMISION
2025,Junio,111,11 jun. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3330&prmIdSesion=80186,https://www.camara.cl/verDoc.aspx?prmID=354771&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=358142&prmTipo=DOCUMENTO_COMISION
2025,Junio,110,04 jun. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3330&prmIdSesion=80118,https://www.camara.cl/verDoc.aspx?prmID=353778&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=355122&prmTipo=DOCUMENTO_COMISION
2025,Mayo,109,14 may. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3330&prmIdSesion=80055,https://www.camara.cl/verDoc.aspx?prmID=350040&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=352755&prmTipo=DOCUMENTO_COMISION
