Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta
2026,Marzo,178,04 mar. 2026,CITADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3319&prmIdSesion=81288,No,No
2026,Enero,177,28 ene. 2026,SUSPENDIDA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3319&prmIdSesion=81232,No,No
2026,Enero,176,21 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3319&prmIdSesion=81188,No,https://www.camara.cl/verDoc.aspx?prmID=381064&prmTipo=DOCUMENTO_COMISION
2026,Enero,176,14 ene. 2026,SUSPENDIDA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3319&prmIdSesion=81150,No,No
2026,Enero,175,07 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3319&prmIdSesion=81097,No,https://www.camara.cl/verDoc.aspx?prmID=378945&prmTipo=DOCUMENTO_COMISION
2025,Diciembre,174,17 dic. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3319&prmIdSesion=81086,No,https://www.camara.cl/verDoc.aspx?prmID=376661&prmTipo=DOCUMENTO_COMISION
2025,Diciembre,173,10 dic. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3319&prmIdSesion=81038,https://www.camara.cl/verDoc.aspx?prmID=376191&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=376552&prmTipo=DOCUMENTO_COMISION
2025,Diciembre,172,03 dic. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3319&prmIdSesion=81004,https://www.camara.cl/verDoc.aspx?prmID=374557&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=376263&prmTipo=DOCUMENTO_COMISION
2025,Noviembre,172,26 nov. 2025,SUSPENDIDA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3319&prmIdSesion=80935,No,No
2025,Noviembre,171,04 nov. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3319&prmIdSesion=80896,https://www.camara.cl/verDoc.aspx?prmID=372934&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=373344&prmTipo=DOCUMENTO_COMISION
2025,Octubre,170,28 oct. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3319&prmIdSesion=80862,https://www.camara.cl/verDoc.aspx?prmID=375962&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=373226&prmTipo=DOCUMENTO_COMISION
