Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta
2026,Enero,115,27 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3306&prmIdSesion=81231,https://www.camara.cl/verDoc.aspx?prmID=381043&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=381392&prmTipo=DOCUMENTO_COMISION
2026,Enero,114,20 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3306&prmIdSesion=81195,https://www.camara.cl/verDoc.aspx?prmID=381059&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=380282&prmTipo=DOCUMENTO_COMISION
2026,Enero,113,13 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3306&prmIdSesion=81163,https://www.camara.cl/verDoc.aspx?prmID=381047&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=379393&prmTipo=DOCUMENTO_COMISION
2026,Enero,112,06 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3306&prmIdSesion=81120,https://www.camara.cl/verDoc.aspx?prmID=378387&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=378642&prmTipo=DOCUMENTO_COMISION
2025,Diciembre,111,16 dic. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3306&prmIdSesion=81071,https://www.camara.cl/verDoc.aspx?prmID=378386&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=376688&prmTipo=DOCUMENTO_COMISION
2025,Diciembre,110,09 dic. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3306&prmIdSesion=81052,https://www.camara.cl/verDoc.aspx?prmID=375746&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=376011&prmTipo=DOCUMENTO_COMISION
2025,Noviembre,109,25 nov. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3306&prmIdSesion=80961,https://www.camara.cl/verDoc.aspx?prmID=374283&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=375427&prmTipo=DOCUMENTO_COMISION
2025,Noviembre,108,04 nov. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3306&prmIdSesion=80911,https://www.camara.cl/verDoc.aspx?prmID=374115&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=373298&prmTipo=DOCUMENTO_COMISION
2025,Octubre,107,28 oct. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3306&prmIdSesion=80856,https://www.camara.cl/verDoc.aspx?prmID=372398&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=372787&prmTipo=DOCUMENTO_COMISION
2025,Octubre,106,14 oct. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3306&prmIdSesion=80822,https://www.camara.cl/verDoc.aspx?prmID=371190&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=371593&prmTipo=DOCUMENTO_COMISION
2025,Octubre,105,07 oct. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3306&prmIdSesion=80779,https://www.camara.cl/verDoc.aspx?prmID=370068&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=371592&prmTipo=DOCUMENTO_COMISION
2025,Septiembre,104,30 sep. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3306&prmIdSesion=80753,https://www.camara.cl/verDoc.aspx?prmID=369095&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=369869&prmTipo=DOCUMENTO_COMISION
2025,Septiembre,103,16 sep. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3306&prmIdSesion=80718,https://www.camara.cl/verDoc.aspx?prmID=368126&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=368537&prmTipo=DOCUMENTO_COMISION
2025,Septiembre,102,09 sep. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3306&prmIdSesion=80662,https://www.camara.cl/verDoc.aspx?prmID=367084&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=368050&prmTipo=DOCUMENTO_COMISION
2025,Septiembre,102,02 sep. 2025,SUSPENDIDA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3306&prmIdSesion=80627,No,No
2025,Agosto,101,19 ago. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3306&prmIdSesion=80558,https://www.camara.cl/verDoc.aspx?prmID=364667&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=365194&prmTipo=DOCUMENTO_COMISION
2025,Agosto,100,12 ago. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3306&prmIdSesion=80519,https://www.camara.cl/verDoc.aspx?prmID=363703&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=365193&prmTipo=DOCUMENTO_COMISION
2025,Agosto,99,05 ago. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3306&prmIdSesion=80501,https://www.camara.cl/verDoc.aspx?prmID=362324&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=363240&prmTipo=DOCUMENTO_COMISION
2025,Julio,98,22 jul. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3306&prmIdSesion=80451,https://www.camara.cl/verDoc.aspx?prmID=359917&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=360461&prmTipo=DOCUMENTO_COMISION
2025,Julio,97,15 jul. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3306&prmIdSesion=80364,https://www.camara.cl/verDoc.aspx?prmID=359031&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=359460&prmTipo=DOCUMENTO_COMISION
2025,Julio,96,08 jul. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3306&prmIdSesion=80302,https://www.camara.cl/verDoc.aspx?prmID=357583&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=358112&prmTipo=DOCUMENTO_COMISION
2025,Julio,95,01 jul. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3306&prmIdSesion=80296,https://www.camara.cl/verDoc.aspx?prmID=356624&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=357945&prmTipo=DOCUMENTO_COMISION
2025,Junio,94,10 jun. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3306&prmIdSesion=80178,https://www.camara.cl/verDoc.aspx?prmID=354563&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=355065&prmTipo=DOCUMENTO_COMISION
2025,Junio,93,03 jun. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3306&prmIdSesion=80137,https://www.camara.cl/verDoc.aspx?prmID=353122&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=353835&prmTipo=DOCUMENTO_COMISION
2025,Mayo,92,13 may. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3306&prmIdSesion=80063,https://www.camara.cl/verDoc.aspx?prmID=353124&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=351335&prmTipo=DOCUMENTO_COMISION
2025,Mayo,91,06 may. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3306&prmIdSesion=80011,https://www.camara.cl/verDoc.aspx?prmID=349448&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=351334&prmTipo=DOCUMENTO_COMISION
2025,Abril,90,22 abr. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3306&prmIdSesion=79913,https://www.camara.cl/verDoc.aspx?prmID=349080&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=347959&prmTipo=DOCUMENTO_COMISION
