Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta
2026,Marzo,242,02 mar. 2026,CITADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3320&prmIdSesion=81279,No,No
2026,Enero,241,26 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3320&prmIdSesion=81224,No,No
2026,Enero,240,19 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3320&prmIdSesion=81169,https://www.camara.cl/verDoc.aspx?prmID=379662&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=380141&prmTipo=DOCUMENTO_COMISION
2026,Enero,239,12 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3320&prmIdSesion=81129,https://www.camara.cl/verDoc.aspx?prmID=379022&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=380118&prmTipo=DOCUMENTO_COMISION
2026,Enero,238,05 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3320&prmIdSesion=81101,https://www.camara.cl/verDoc.aspx?prmID=377883&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=378805&prmTipo=DOCUMENTO_COMISION
2025,Diciembre,238,15 dic. 2025,SUSPENDIDA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3320&prmIdSesion=81068,No,No
2025,Diciembre,237,01 dic. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3320&prmIdSesion=81008,https://www.camara.cl/verDoc.aspx?prmID=374640&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=377816&prmTipo=DOCUMENTO_COMISION
2025,Noviembre,236,24 nov. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3320&prmIdSesion=80968,https://www.camara.cl/verDoc.aspx?prmID=373905&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=374481&prmTipo=DOCUMENTO_COMISION
2025,Octubre,235,27 oct. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3320&prmIdSesion=80859,https://www.camara.cl/verDoc.aspx?prmID=372095&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=373510&prmTipo=DOCUMENTO_COMISION
2025,Octubre,234,13 oct. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3320&prmIdSesion=80816,https://www.camara.cl/verDoc.aspx?prmID=370822&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=371688&prmTipo=DOCUMENTO_COMISION
2025,Octubre,233,06 oct. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3320&prmIdSesion=80793,https://www.camara.cl/verDoc.aspx?prmID=369800&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=370490&prmTipo=DOCUMENTO_COMISION
2025,Octubre,232,01 oct. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3320&prmIdSesion=80775,https://www.camara.cl/verDoc.aspx?prmID=369494&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=372571&prmTipo=DOCUMENTO_COMISION
2025,Septiembre,231,29 sep. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3320&prmIdSesion=80738,https://www.camara.cl/verDoc.aspx?prmID=368802&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=369730&prmTipo=DOCUMENTO_COMISION
2025,Septiembre,230,15 sep. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3320&prmIdSesion=80694,https://www.camara.cl/verDoc.aspx?prmID=368608&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=368385&prmTipo=DOCUMENTO_COMISION
2025,Septiembre,229,15 sep. 2025,FRACASADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3320&prmIdSesion=80692,No,https://www.camara.cl/verDoc.aspx?prmID=368512&prmTipo=DOCUMENTO_COMISION
2025,Septiembre,228,08 sep. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3320&prmIdSesion=80666,https://www.camara.cl/verDoc.aspx?prmID=367583&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=367136&prmTipo=DOCUMENTO_COMISION
2025,Septiembre,227,01 sep. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3320&prmIdSesion=80634,https://www.camara.cl/verDoc.aspx?prmID=365657&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=366842&prmTipo=DOCUMENTO_COMISION
2025,Septiembre,226,01 sep. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3320&prmIdSesion=80633,https://www.camara.cl/verDoc.aspx?prmID=365610&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=366841&prmTipo=DOCUMENTO_COMISION
2025,Agosto,225,20 ago. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3320&prmIdSesion=80570,https://www.camara.cl/verDoc.aspx?prmID=365002&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=365409&prmTipo=DOCUMENTO_COMISION
2025,Agosto,224,19 ago. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3320&prmIdSesion=80569,https://www.camara.cl/verDoc.aspx?prmID=364521&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=364987&prmTipo=DOCUMENTO_COMISION
2025,Agosto,223,13 ago. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3320&prmIdSesion=80550,https://www.camara.cl/verDoc.aspx?prmID=364134&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=364361&prmTipo=DOCUMENTO_COMISION
2025,Agosto,222,12 ago. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3320&prmIdSesion=80545,https://www.camara.cl/verDoc.aspx?prmID=363550&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=364360&prmTipo=DOCUMENTO_COMISION
2025,Agosto,221,11 ago. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3320&prmIdSesion=80526,https://www.camara.cl/verDoc.aspx?prmID=363291&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=364359&prmTipo=DOCUMENTO_COMISION
2025,Agosto,220,06 ago. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3320&prmIdSesion=80508,https://www.camara.cl/verDoc.aspx?prmID=362864&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=363825&prmTipo=DOCUMENTO_COMISION
2025,Agosto,219,04 ago. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3320&prmIdSesion=80488,https://www.camara.cl/verDoc.aspx?prmID=361617&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=363824&prmTipo=DOCUMENTO_COMISION
2025,Agosto,218,04 ago. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3320&prmIdSesion=80486,https://www.camara.cl/verDoc.aspx?prmID=361506&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=363823&prmTipo=DOCUMENTO_COMISION
2025,Julio,217,23 jul. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3320&prmIdSesion=80456,https://www.camara.cl/verDoc.aspx?prmID=360318&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=360531&prmTipo=DOCUMENTO_COMISION
2025,Julio,216,22 jul. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3320&prmIdSesion=80424,https://www.camara.cl/verDoc.aspx?prmID=359713&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=360529&prmTipo=DOCUMENTO_COMISION
2025,Julio,215,21 jul. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3320&prmIdSesion=80414,No,https://www.camara.cl/verDoc.aspx?prmID=360527&prmTipo=DOCUMENTO_COMISION
2025,Julio,214,21 jul. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3320&prmIdSesion=80413,https://www.camara.cl/verDoc.aspx?prmID=360397&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=360526&prmTipo=DOCUMENTO_COMISION
2025,Julio,213,09 jul. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3320&prmIdSesion=80343,https://www.camara.cl/verDoc.aspx?prmID=358000&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=360528&prmTipo=DOCUMENTO_COMISION
2025,Julio,212,07 jul. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3320&prmIdSesion=80314,https://www.camara.cl/verDoc.aspx?prmID=357339&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=358060&prmTipo=DOCUMENTO_COMISION
2025,Julio,211,02 jul. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3320&prmIdSesion=80265,https://www.camara.cl/verDoc.aspx?prmID=356917&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=357884&prmTipo=DOCUMENTO_COMISION
2025,Junio,210,18 jun. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3320&prmIdSesion=80231,https://www.camara.cl/verDoc.aspx?prmID=355719&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=356824&prmTipo=DOCUMENTO_COMISION
2025,Junio,209,11 jun. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3320&prmIdSesion=80199,https://www.camara.cl/verDoc.aspx?prmID=354789&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=355737&prmTipo=DOCUMENTO_COMISION
2025,Junio,208,09 jun. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3320&prmIdSesion=80170,https://www.camara.cl/verDoc.aspx?prmID=354137&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=355300&prmTipo=DOCUMENTO_COMISION
2025,Junio,207,04 jun. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3320&prmIdSesion=80154,https://www.camara.cl/verDoc.aspx?prmID=353750&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=353853&prmTipo=DOCUMENTO_COMISION
