Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta
2026,Marzo,20,02 mar. 2026,CITADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4761&prmIdSesion=81298,No,No
2026,Enero,19,26 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4761&prmIdSesion=81248,No,No
2026,Enero,18,19 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4761&prmIdSesion=81197,No,No
2026,Enero,17,12 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4761&prmIdSesion=81156,No,No
2026,Enero,16,05 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4761&prmIdSesion=81112,No,No
2025,Diciembre,15,15 dic. 2025,FRACASADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4761&prmIdSesion=81079,No,No
2025,Diciembre,14,01 dic. 2025,FRACASADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4761&prmIdSesion=81013,No,No
2025,Noviembre,13,24 nov. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4761&prmIdSesion=80985,No,No
2025,Octubre,12,27 oct. 2025,FRACASADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4761&prmIdSesion=80873,No,No
2025,Octubre,11,13 oct. 2025,FRACASADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4761&prmIdSesion=80836,No,No
2025,Octubre,10,06 oct. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4761&prmIdSesion=80809,No,No
2025,Septiembre,9,29 sep. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4761&prmIdSesion=80756,No,No
2025,Septiembre,9,15 sep. 2025,SUSPENDIDA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4761&prmIdSesion=80715,No,No
2025,Septiembre,8,08 sep. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4761&prmIdSesion=80685,No,No
2025,Septiembre,7,01 sep. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4761&prmIdSesion=80635,No,No
2025,Junio,6,09 jun. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4761&prmIdSesion=80192,No,No
2025,Junio,5,02 jun. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4761&prmIdSesion=80123,No,No
2025,Mayo,4,19 may. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4761&prmIdSesion=80092,No,No
2025,Mayo,3,12 may. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4761&prmIdSesion=80049,No,No
2025,Mayo,2,05 may. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4761&prmIdSesion=79971,No,No
2025,Abril,1,21 abr. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4761&prmIdSesion=79951,No,https://www.camara.cl/verDoc.aspx?prmID=348263&prmTipo=DOCUMENTO_COMISION
