Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta
2026,Marzo,140,04 mar. 2026,CITADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3316&prmIdSesion=81291,No,No
2026,Enero,139,28 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3316&prmIdSesion=81247,https://www.camara.cl/verDoc.aspx?prmID=381239&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=381412&prmTipo=DOCUMENTO_COMISION
2026,Enero,138,21 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3316&prmIdSesion=81203,https://www.camara.cl/verDoc.aspx?prmID=380240&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=380516&prmTipo=DOCUMENTO_COMISION
2026,Enero,137,14 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3316&prmIdSesion=81153,https://www.camara.cl/verDoc.aspx?prmID=379447&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=379711&prmTipo=DOCUMENTO_COMISION
2026,Enero,136,08 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3316&prmIdSesion=81100,https://www.camara.cl/verDoc.aspx?prmID=378819&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=379307&prmTipo=DOCUMENTO_COMISION
2026,Enero,135,07 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3316&prmIdSesion=81099,https://www.camara.cl/verDoc.aspx?prmID=378505&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=379088&prmTipo=DOCUMENTO_COMISION
2025,Diciembre,135,18 dic. 2025,SUSPENDIDA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3316&prmIdSesion=81044,No,No
2025,Diciembre,134,17 dic. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3316&prmIdSesion=81077,https://www.camara.cl/verDoc.aspx?prmID=376657&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=380384&prmTipo=DOCUMENTO_COMISION
2025,Diciembre,133,10 dic. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3316&prmIdSesion=81043,https://www.camara.cl/verDoc.aspx?prmID=376059&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=376206&prmTipo=DOCUMENTO_COMISION
2025,Diciembre,132,03 dic. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3316&prmIdSesion=81005,https://www.camara.cl/verDoc.aspx?prmID=375280&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=375478&prmTipo=DOCUMENTO_COMISION
