Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta
2026,Enero,108,26 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3321&prmIdSesion=81227,https://www.camara.cl/verDoc.aspx?prmID=380671&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=381394&prmTipo=DOCUMENTO_COMISION
2026,Enero,107,19 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3321&prmIdSesion=81172,https://www.camara.cl/verDoc.aspx?prmID=380679&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=381393&prmTipo=DOCUMENTO_COMISION
2026,Enero,106,12 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3321&prmIdSesion=81140,https://www.camara.cl/verDoc.aspx?prmID=379003&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=379115&prmTipo=DOCUMENTO_COMISION
2026,Enero,105,05 ene. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3321&prmIdSesion=81122,https://www.camara.cl/verDoc.aspx?prmID=378025&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=378688&prmTipo=DOCUMENTO_COMISION
2025,Diciembre,105,01 dic. 2025,SUSPENDIDA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3321&prmIdSesion=80995,No,No
2025,Noviembre,104,24 nov. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3321&prmIdSesion=80984,https://www.camara.cl/verDoc.aspx?prmID=374116&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=375429&prmTipo=DOCUMENTO_COMISION
2025,Octubre,103,27 oct. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3321&prmIdSesion=80858,https://www.camara.cl/verDoc.aspx?prmID=372150&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=372789&prmTipo=DOCUMENTO_COMISION
2025,Octubre,103,13 oct. 2025,SUSPENDIDA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3321&prmIdSesion=80849,https://www.camara.cl/verDoc.aspx?prmID=370893&prmTipo=DOCUMENTO_COMISION,No
2025,Octubre,102,06 oct. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3321&prmIdSesion=80797,https://www.camara.cl/verDoc.aspx?prmID=369872&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=371595&prmTipo=DOCUMENTO_COMISION
2025,Septiembre,101,15 sep. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3321&prmIdSesion=80720,https://www.camara.cl/verDoc.aspx?prmID=367958&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=368539&prmTipo=DOCUMENTO_COMISION
2025,Septiembre,101,08 sep. 2025,SUSPENDIDA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3321&prmIdSesion=80664,No,No
2025,Septiembre,100,01 sep. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3321&prmIdSesion=80639,https://www.camara.cl/verDoc.aspx?prmID=365781&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=368048&prmTipo=DOCUMENTO_COMISION
2025,Agosto,99,11 ago. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3321&prmIdSesion=80516,https://www.camara.cl/verDoc.aspx?prmID=365759&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=365198&prmTipo=DOCUMENTO_COMISION
2025,Agosto,98,04 ago. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3321&prmIdSesion=80489,https://www.camara.cl/verDoc.aspx?prmID=362007&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=363243&prmTipo=DOCUMENTO_COMISION
2025,Julio,97,21 jul. 2025,CITADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3321&prmIdSesion=80432,https://www.camara.cl/verDoc.aspx?prmID=359660&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=360462&prmTipo=DOCUMENTO_COMISION
2025,Julio,96,14 jul. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3321&prmIdSesion=80349,https://www.camara.cl/verDoc.aspx?prmID=358796&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=359459&prmTipo=DOCUMENTO_COMISION
2025,Julio,95,07 jul. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3321&prmIdSesion=80306,https://www.camara.cl/verDoc.aspx?prmID=357411&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=358113&prmTipo=DOCUMENTO_COMISION
2025,Junio,94,30 jun. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3321&prmIdSesion=80278,https://www.camara.cl/verDoc.aspx?prmID=356412&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=357947&prmTipo=DOCUMENTO_COMISION
2025,Junio,93,16 jun. 2025,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3321&prmIdSesion=80216,https://www.camara.cl/verDoc.aspx?prmID=355156&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/verDoc.aspx?prmID=356466&prmTipo=DOCUMENTO_COMISION
