Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta
2026,Abril,3,06 abr. 2026,Citada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4905&prmIdSesion=81437,No,No
2026,Marzo,2,23 mar. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4905&prmIdSesion=81410,https://www.camara.cl/verDoc.aspx?prmID=263691&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,No
2026,Marzo,1,18 mar. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4905&prmIdSesion=81386,https://www.camara.cl/verDoc.aspx?prmID=263380&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=263567&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Marzo,155,04 mar. 2026,Suspendida,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4905&prmIdSesion=81311,No,No
2026,Enero,155,28 ene. 2026,Suspendida,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4905&prmIdSesion=81244,No,No
2026,Enero,154,27 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4905&prmIdSesion=81242,https://www.camara.cl/verDoc.aspx?prmID=258742&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=19745&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,153,21 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4905&prmIdSesion=81201,https://www.camara.cl/verDoc.aspx?prmID=251841&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=13008&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,152,20 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4905&prmIdSesion=81207,https://www.camara.cl/verDoc.aspx?prmID=255016&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=16113&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,151,15 ene. 2026,Fracasada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4905&prmIdSesion=81160,No,https://www.camara.cl/verDoc.aspx?prmID=19231&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,150,14 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4905&prmIdSesion=81131,https://www.camara.cl/verDoc.aspx?prmID=247085&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=821&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,149,07 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4905&prmIdSesion=81107,https://www.camara.cl/verDoc.aspx?prmID=252204&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=13365&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Diciembre,148,17 dic. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4905&prmIdSesion=81076,https://www.camara.cl/verDoc.aspx?prmID=260713&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=21634&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Diciembre,147,10 dic. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4905&prmIdSesion=81040,https://www.camara.cl/verDoc.aspx?prmID=251496&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=12657&prmTipo=DOCUMENTO_COMISIONSESIONACTA
