Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta
2026,Abril,3,07 abr. 2026,Citada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4914&prmIdSesion=81433,No,No
2026,Marzo,2,24 mar. 2026,Suspendida,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4914&prmIdSesion=81394,No,No
2026,Marzo,1,17 mar. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4914&prmIdSesion=81363,No,No
2026,Marzo,132,03 mar. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4914&prmIdSesion=81293,https://www.camara.cl/verDoc.aspx?prmID=257746&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=18784&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,131,27 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4914&prmIdSesion=81239,https://www.camara.cl/verDoc.aspx?prmID=251929&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=13095&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,130,20 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4914&prmIdSesion=81190,https://www.camara.cl/verDoc.aspx?prmID=262288&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=23159&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,129,13 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4914&prmIdSesion=81139,https://www.camara.cl/verDoc.aspx?prmID=246246&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=4&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,128,06 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4914&prmIdSesion=81104,https://www.camara.cl/verDoc.aspx?prmID=251906&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=13074&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Diciembre,127,16 dic. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4914&prmIdSesion=81065,https://www.camara.cl/verDoc.aspx?prmID=260712&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=21633&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Diciembre,126,09 dic. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4914&prmIdSesion=81030,https://www.camara.cl/verDoc.aspx?prmID=251493&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=12654&prmTipo=DOCUMENTO_COMISIONSESIONACTA
