Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta
2026,Abril,3,14 abr. 2026,Citada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4896&prmIdSesion=81419,No,No
2026,Abril,2,07 abr. 2026,Citada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4896&prmIdSesion=81418,No,No
2026,Marzo,2,24 mar. 2026,Suspendida,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4896&prmIdSesion=81393,No,No
2026,Marzo,1,17 mar. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4896&prmIdSesion=81357,https://www.camara.cl/verDoc.aspx?prmID=263168&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=263784&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Marzo,160,03 mar. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4896&prmIdSesion=81289,https://www.camara.cl/verDoc.aspx?prmID=251928&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=262630&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,159,27 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4896&prmIdSesion=81222,https://www.camara.cl/verDoc.aspx?prmID=250349&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=11526&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,158,20 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4896&prmIdSesion=81192,https://www.camara.cl/verDoc.aspx?prmID=261470&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=22366&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,157,13 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4896&prmIdSesion=81138,https://www.camara.cl/verDoc.aspx?prmID=249937&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=11118&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,156,06 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4896&prmIdSesion=81092,https://www.camara.cl/verDoc.aspx?prmID=251903&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=13071&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Diciembre,155,16 dic. 2025,Citada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4896&prmIdSesion=81061,https://www.camara.cl/verDoc.aspx?prmID=257016&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=18073&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Diciembre,154,09 dic. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4896&prmIdSesion=81026,https://www.camara.cl/verDoc.aspx?prmID=256655&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=17721&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Diciembre,153,02 dic. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4896&prmIdSesion=80990,https://www.camara.cl/verDoc.aspx?prmID=260411&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=21344&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Noviembre,153,25 nov. 2025,Suspendida,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4896&prmIdSesion=80959,No,No
2025,Noviembre,152,04 nov. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4896&prmIdSesion=80893,https://www.camara.cl/verDoc.aspx?prmID=259568&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=20526&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Octubre,151,28 oct. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4896&prmIdSesion=80871,https://www.camara.cl/verDoc.aspx?prmID=258314&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=19325&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Octubre,150,14 oct. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4896&prmIdSesion=80817,https://www.camara.cl/verDoc.aspx?prmID=259887&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=20835&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Octubre,149,07 oct. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4896&prmIdSesion=80780,https://www.camara.cl/verDoc.aspx?prmID=252201&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=13362&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Septiembre,148,30 sep. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4896&prmIdSesion=80726,https://www.camara.cl/verDoc.aspx?prmID=257010&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=18068&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Septiembre,147,16 sep. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4896&prmIdSesion=80700,https://www.camara.cl/verDoc.aspx?prmID=251148&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=12317&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Septiembre,146,09 sep. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4896&prmIdSesion=80659,https://www.camara.cl/verDoc.aspx?prmID=258295&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=19306&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Septiembre,145,02 sep. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4896&prmIdSesion=80607,https://www.camara.cl/verDoc.aspx?prmID=251127&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=12297&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Agosto,144,19 ago. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4896&prmIdSesion=80565,https://www.camara.cl/verDoc.aspx?prmID=258285&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=19296&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Agosto,143,12 ago. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4896&prmIdSesion=80517,https://www.camara.cl/verDoc.aspx?prmID=258265&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=19276&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Agosto,142,05 ago. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4896&prmIdSesion=80460,https://www.camara.cl/verDoc.aspx?prmID=255853&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=16948&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Julio,141,22 jul. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4896&prmIdSesion=80402,https://www.camara.cl/verDoc.aspx?prmID=250358&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=11535&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Julio,140,15 jul. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4896&prmIdSesion=80352,https://www.camara.cl/verDoc.aspx?prmID=261123&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=22022&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Julio,139,08 jul. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4896&prmIdSesion=80301,https://www.camara.cl/verDoc.aspx?prmID=249932&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=11113&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Julio,138,01 jul. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4896&prmIdSesion=80264,https://www.camara.cl/verDoc.aspx?prmID=246740&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=484&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Junio,137,17 jun. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4896&prmIdSesion=80217,https://www.camara.cl/verDoc.aspx?prmID=255524&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=16619&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Junio,136,10 jun. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4896&prmIdSesion=80166,https://www.camara.cl/verDoc.aspx?prmID=258717&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=19720&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Junio,135,06 jun. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4896&prmIdSesion=80104,https://www.camara.cl/verDoc.aspx?prmID=246639&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=385&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Junio,134,03 jun. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4896&prmIdSesion=80102,https://www.camara.cl/verDoc.aspx?prmID=246637&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=383&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Mayo,133,13 may. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4896&prmIdSesion=80024,https://www.camara.cl/verDoc.aspx?prmID=246615&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=361&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Mayo,132,06 may. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4896&prmIdSesion=79965,https://www.camara.cl/verDoc.aspx?prmID=258211&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=19226&prmTipo=DOCUMENTO_COMISIONSESIONACTA
