Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta
2026,Abril,3,07 abr. 2026,Citada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4910&prmIdSesion=81440,No,No
2026,Marzo,2,24 mar. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4910&prmIdSesion=81395,https://www.camara.cl/verDoc.aspx?prmID=263770&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=264187&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Marzo,1,17 mar. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4910&prmIdSesion=81365,https://www.camara.cl/verDoc.aspx?prmID=263182&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=263521&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Marzo,144,03 mar. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4910&prmIdSesion=81297,https://www.camara.cl/verDoc.aspx?prmID=251932&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=263141&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,143,27 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4910&prmIdSesion=81241,https://www.camara.cl/verDoc.aspx?prmID=258741&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=19744&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,143,26 ene. 2026,Suspendida,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4910&prmIdSesion=81225,No,No
2026,Enero,142,20 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4910&prmIdSesion=81184,https://www.camara.cl/verDoc.aspx?prmID=255447&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=16545&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,141,13 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4910&prmIdSesion=81151,https://www.camara.cl/verDoc.aspx?prmID=251007&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=12179&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,140,06 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4910&prmIdSesion=81116,https://www.camara.cl/verDoc.aspx?prmID=257883&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=18915&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Diciembre,139,16 dic. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4910&prmIdSesion=81058,https://www.camara.cl/verDoc.aspx?prmID=251501&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=12662&prmTipo=DOCUMENTO_COMISIONSESIONACTA
