Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta
2026,Marzo,2,23 mar. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4907&prmIdSesion=81409,https://www.camara.cl/verDoc.aspx?prmID=263563&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,No
2026,Marzo,1,18 mar. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4907&prmIdSesion=81380,https://www.camara.cl/verDoc.aspx?prmID=263349&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=263597&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Marzo,118,02 mar. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4907&prmIdSesion=81296,https://www.camara.cl/verDoc.aspx?prmID=257087&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=18143&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,117,26 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4907&prmIdSesion=81214,https://www.camara.cl/verDoc.aspx?prmID=258310&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=19321&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,116,19 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4907&prmIdSesion=81183,https://www.camara.cl/verDoc.aspx?prmID=251921&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=13089&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,115,12 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4907&prmIdSesion=81159,https://www.camara.cl/verDoc.aspx?prmID=254645&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=15747&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,114,05 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4907&prmIdSesion=81118,https://www.camara.cl/verDoc.aspx?prmID=246868&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=613&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Diciembre,114,15 dic. 2025,Suspendida,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4907&prmIdSesion=81073,No,No
2025,Diciembre,113,01 dic. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4907&prmIdSesion=81000,https://www.camara.cl/verDoc.aspx?prmID=258737&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=19740&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Noviembre,112,24 nov. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4907&prmIdSesion=80967,https://www.camara.cl/verDoc.aspx?prmID=246657&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=403&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Octubre,111,27 oct. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4907&prmIdSesion=80882,https://www.camara.cl/verDoc.aspx?prmID=257882&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=18914&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Octubre,110,13 oct. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4907&prmIdSesion=80832,https://www.camara.cl/verDoc.aspx?prmID=249816&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=10995&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Octubre,109,06 oct. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4907&prmIdSesion=80784,https://www.camara.cl/verDoc.aspx?prmID=246349&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=103&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Septiembre,108,29 sep. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4907&prmIdSesion=80742,https://www.camara.cl/verDoc.aspx?prmID=259457&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=20420&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Septiembre,107,15 sep. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4907&prmIdSesion=80712,https://www.camara.cl/verDoc.aspx?prmID=251152&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=12321&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Septiembre,106,08 sep. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4907&prmIdSesion=80673,https://www.camara.cl/verDoc.aspx?prmID=258298&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=19309&prmTipo=DOCUMENTO_COMISIONSESIONACTA
