Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta
2026,Abril,3,07 abr. 2026,Citada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4895&prmIdSesion=81439,No,No
2026,Marzo,2,24 mar. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4895&prmIdSesion=81411,https://www.camara.cl/verDoc.aspx?prmID=263874&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,No
2026,Marzo,1,17 mar. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4895&prmIdSesion=81358,https://www.camara.cl/verDoc.aspx?prmID=263152&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=263296&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Marzo,201,03 mar. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4895&prmIdSesion=81292,https://www.camara.cl/verDoc.aspx?prmID=262701&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=263545&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,200,28 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4895&prmIdSesion=81253,https://www.camara.cl/verDoc.aspx?prmID=259842&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=20790&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,199,28 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4895&prmIdSesion=81272,https://www.camara.cl/verDoc.aspx?prmID=256265&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=17345&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,198,27 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4895&prmIdSesion=81252,https://www.camara.cl/verDoc.aspx?prmID=251388&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=12554&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,197,21 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4895&prmIdSesion=81204,https://www.camara.cl/verDoc.aspx?prmID=259888&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=20836&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,196,20 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4895&prmIdSesion=81182,https://www.camara.cl/verDoc.aspx?prmID=258639&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=19645&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,195,13 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4895&prmIdSesion=81155,https://www.camara.cl/verDoc.aspx?prmID=251918&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=13086&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,194,06 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4895&prmIdSesion=81115,https://www.camara.cl/verDoc.aspx?prmID=257744&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=18782&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Diciembre,193,16 dic. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4895&prmIdSesion=81078,https://www.camara.cl/verDoc.aspx?prmID=246352&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=106&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Diciembre,192,09 dic. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4895&prmIdSesion=81032,https://www.camara.cl/verDoc.aspx?prmID=251495&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=12656&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Diciembre,191,02 dic. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4895&prmIdSesion=81015,https://www.camara.cl/verDoc.aspx?prmID=256654&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=17720&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Noviembre,190,25 nov. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4895&prmIdSesion=80973,https://www.camara.cl/verDoc.aspx?prmID=257013&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=18070&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Noviembre,190,24 nov. 2025,Suspendida,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4895&prmIdSesion=80971,No,No
2025,Noviembre,189,04 nov. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4895&prmIdSesion=80903,https://www.camara.cl/verDoc.aspx?prmID=250705&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=11877&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Octubre,189,29 oct. 2025,Suspendida,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4895&prmIdSesion=80879,No,No
2025,Octubre,188,28 oct. 2025,Citada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4895&prmIdSesion=80878,https://www.camara.cl/verDoc.aspx?prmID=251476&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=12639&prmTipo=DOCUMENTO_COMISIONSESIONACTA
