Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta
2026,Abril,3,07 abr. 2026,Citada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4912&prmIdSesion=81425,No,No
2026,Marzo,2,24 mar. 2026,Suspendida,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4912&prmIdSesion=81408,No,No
2026,Marzo,1,17 mar. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4912&prmIdSesion=81360,https://www.camara.cl/verDoc.aspx?prmID=263176&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=263841&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Marzo,109,03 mar. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4912&prmIdSesion=81275,https://www.camara.cl/verDoc.aspx?prmID=256657&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=17723&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,108,27 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4912&prmIdSesion=81233,https://www.camara.cl/verDoc.aspx?prmID=255453&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=16551&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,107,20 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4912&prmIdSesion=81176,https://www.camara.cl/verDoc.aspx?prmID=259411&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=20379&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,106,13 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4912&prmIdSesion=81135,https://www.camara.cl/verDoc.aspx?prmID=246963&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=706&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,105,06 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4912&prmIdSesion=81091,https://www.camara.cl/verDoc.aspx?prmID=251502&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=12663&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Diciembre,104,09 dic. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4912&prmIdSesion=81028,https://www.camara.cl/verDoc.aspx?prmID=259995&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=20939&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Diciembre,103,02 dic. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4912&prmIdSesion=80977,https://www.camara.cl/verDoc.aspx?prmID=246867&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=612&prmTipo=DOCUMENTO_COMISIONSESIONACTA
