Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta
2026,Abril,3,06 abr. 2026,Citada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4886&prmIdSesion=81436,No,No
2026,Marzo,2,23 mar. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4886&prmIdSesion=81406,https://www.camara.cl/verDoc.aspx?prmID=263727&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=263972&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Marzo,1,18 mar. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4886&prmIdSesion=81382,https://www.camara.cl/verDoc.aspx?prmID=263396&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=263730&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Marzo,123,02 mar. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4886&prmIdSesion=81295,https://www.camara.cl/verDoc.aspx?prmID=251901&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=13069&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,122,26 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4886&prmIdSesion=81237,https://www.camara.cl/verDoc.aspx?prmID=257425&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=18476&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,121,19 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4886&prmIdSesion=81179,https://www.camara.cl/verDoc.aspx?prmID=258638&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=19644&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,120,12 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4886&prmIdSesion=81152,https://www.camara.cl/verDoc.aspx?prmID=246768&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=512&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,119,05 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4886&prmIdSesion=81114,https://www.camara.cl/verDoc.aspx?prmID=261058&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=21960&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Diciembre,118,15 dic. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4886&prmIdSesion=81060,https://www.camara.cl/verDoc.aspx?prmID=250630&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=11806&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Diciembre,117,01 dic. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4886&prmIdSesion=81002,https://www.camara.cl/verDoc.aspx?prmID=246245&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=3&prmTipo=DOCUMENTO_COMISIONSESIONACTA
