Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta
2026,Abril,3,07 abr. 2026,Citada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4897&prmIdSesion=81431,No,No
2026,Marzo,2,24 mar. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4897&prmIdSesion=81392,https://www.camara.cl/verDoc.aspx?prmID=263726&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,No
2026,Marzo,1,17 mar. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4897&prmIdSesion=81362,https://www.camara.cl/verDoc.aspx?prmID=263199&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=263385&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Marzo,239,03 mar. 2026,Suspendida,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4897&prmIdSesion=81353,No,No
2026,Marzo,238,03 mar. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4897&prmIdSesion=81285,https://www.camara.cl/verDoc.aspx?prmID=246448&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,No
2026,Marzo,237,02 mar. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4897&prmIdSesion=81282,https://www.camara.cl/verDoc.aspx?prmID=246447&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=263599&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,236,27 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4897&prmIdSesion=81218,https://www.camara.cl/verDoc.aspx?prmID=258740&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=19743&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,235,26 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4897&prmIdSesion=81235,https://www.camara.cl/verDoc.aspx?prmID=246966&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=263138&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,234,20 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4897&prmIdSesion=81194,https://www.camara.cl/verDoc.aspx?prmID=252255&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=13412&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,234,19 ene. 2026,Suspendida,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4897&prmIdSesion=81171,No,No
