Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta
2026,Abril,3,08 abr. 2026,Citada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4888&prmIdSesion=81444,No,No
2026,Marzo,2,25 mar. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4888&prmIdSesion=81405,https://www.camara.cl/verDoc.aspx?prmID=263888&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=264198&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Marzo,1,18 mar. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4888&prmIdSesion=81372,https://www.camara.cl/verDoc.aspx?prmID=263330&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=263449&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Marzo,165,04 mar. 2026,Suspendida,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4888&prmIdSesion=81286,No,No
2026,Enero,164,28 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4888&prmIdSesion=81243,https://www.camara.cl/verDoc.aspx?prmID=247083&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=819&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,163,21 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4888&prmIdSesion=81208,https://www.camara.cl/verDoc.aspx?prmID=258217&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=19232&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,163,14 ene. 2026,Suspendida,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4888&prmIdSesion=81164,No,No
2026,Enero,162,07 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4888&prmIdSesion=81109,https://www.camara.cl/verDoc.aspx?prmID=251908&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=13076&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Diciembre,161,17 dic. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4888&prmIdSesion=81074,https://www.camara.cl/verDoc.aspx?prmID=258215&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=19230&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Diciembre,160,10 dic. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4888&prmIdSesion=81053,https://www.camara.cl/verDoc.aspx?prmID=246962&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=705&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Diciembre,159,03 dic. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4888&prmIdSesion=81003,https://www.camara.cl/verDoc.aspx?prmID=246449&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=198&prmTipo=DOCUMENTO_COMISIONSESIONACTA
