Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta
2026,Marzo,2,25 mar. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4913&prmIdSesion=81414,https://www.camara.cl/verDoc.aspx?prmID=263895&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,No
2026,Marzo,1,18 mar. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4913&prmIdSesion=81378,https://www.camara.cl/verDoc.aspx?prmID=263307&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=263737&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Marzo,130,04 mar. 2026,Suspendida,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4913&prmIdSesion=81304,No,No
2026,Enero,129,28 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4913&prmIdSesion=81255,https://www.camara.cl/verDoc.aspx?prmID=246766&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=510&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,128,21 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4913&prmIdSesion=81185,https://www.camara.cl/verDoc.aspx?prmID=255448&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=16546&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,128,14 ene. 2026,Suspendida,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4913&prmIdSesion=81161,No,No
2026,Enero,127,07 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4913&prmIdSesion=81111,https://www.camara.cl/verDoc.aspx?prmID=251909&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=13077&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Diciembre,126,17 dic. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4913&prmIdSesion=81082,https://www.camara.cl/verDoc.aspx?prmID=246974&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=713&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Diciembre,125,10 dic. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4913&prmIdSesion=81046,https://www.camara.cl/verDoc.aspx?prmID=246961&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=704&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Diciembre,124,03 dic. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4913&prmIdSesion=81007,https://www.camara.cl/verDoc.aspx?prmID=249819&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=10998&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Noviembre,124,26 nov. 2025,Suspendida,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4913&prmIdSesion=80938,No,No
2025,Octubre,123,15 oct. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4913&prmIdSesion=80826,https://www.camara.cl/verDoc.aspx?prmID=250627&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=11803&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Octubre,122,08 oct. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4913&prmIdSesion=80805,https://www.camara.cl/verDoc.aspx?prmID=259992&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=20936&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Octubre,121,01 oct. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4913&prmIdSesion=80736,https://www.camara.cl/verDoc.aspx?prmID=258728&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=19731&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Septiembre,120,10 sep. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4913&prmIdSesion=80678,https://www.camara.cl/verDoc.aspx?prmID=251000&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=12171&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Septiembre,119,03 sep. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4913&prmIdSesion=80613,https://www.camara.cl/verDoc.aspx?prmID=260710&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=21631&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Agosto,118,20 ago. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4913&prmIdSesion=80572,https://www.camara.cl/verDoc.aspx?prmID=250999&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=12170&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Agosto,117,13 ago. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4913&prmIdSesion=80540,https://www.camara.cl/verDoc.aspx?prmID=251119&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=12289&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Agosto,116,06 ago. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4913&prmIdSesion=80473,https://www.camara.cl/verDoc.aspx?prmID=251110&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=12280&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Julio,115,23 jul. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4913&prmIdSesion=80374,https://www.camara.cl/verDoc.aspx?prmID=259835&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=20784&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Julio,114,09 jul. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4913&prmIdSesion=80316,https://www.camara.cl/verDoc.aspx?prmID=250353&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=11530&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Julio,113,02 jul. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4913&prmIdSesion=80290,https://www.camara.cl/verDoc.aspx?prmID=255910&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=17003&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Junio,112,18 jun. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4913&prmIdSesion=80246,https://www.camara.cl/verDoc.aspx?prmID=255525&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=16620&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Junio,111,11 jun. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4913&prmIdSesion=80186,https://www.camara.cl/verDoc.aspx?prmID=250276&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=11456&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Junio,110,04 jun. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4913&prmIdSesion=80118,https://www.camara.cl/verDoc.aspx?prmID=257905&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=18936&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Mayo,109,14 may. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4913&prmIdSesion=80055,https://www.camara.cl/verDoc.aspx?prmID=246628&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=374&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Mayo,108,07 may. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4913&prmIdSesion=80008,https://www.camara.cl/verDoc.aspx?prmID=258214&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=19229&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Abril,107,23 abr. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4913&prmIdSesion=79930,https://www.camara.cl/verDoc.aspx?prmID=254631&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=15733&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Abril,106,16 abr. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4913&prmIdSesion=79888,https://www.camara.cl/verDoc.aspx?prmID=262277&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=23148&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Abril,105,09 abr. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4913&prmIdSesion=79825,https://www.camara.cl/verDoc.aspx?prmID=261536&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=22428&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Marzo,104,19 mar. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4913&prmIdSesion=79745,https://www.camara.cl/verDoc.aspx?prmID=249949&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=11132&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Marzo,104,12 mar. 2025,Suspendida,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4913&prmIdSesion=79680,No,No
2025,Marzo,103,05 mar. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4913&prmIdSesion=79622,https://www.camara.cl/verDoc.aspx?prmID=251424&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=12587&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Enero,102,15 ene. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4913&prmIdSesion=79493,https://www.camara.cl/verDoc.aspx?prmID=262276&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=23147&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Enero,101,08 ene. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4913&prmIdSesion=79431,https://www.camara.cl/verDoc.aspx?prmID=250983&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=12155&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2024,Diciembre,100,18 dic. 2024,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4913&prmIdSesion=79361,https://www.camara.cl/verDoc.aspx?prmID=257004&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=18062&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2024,Diciembre,99,12 dic. 2024,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4913&prmIdSesion=79312,https://www.camara.cl/verDoc.aspx?prmID=257778&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=18812&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2024,Diciembre,98,11 dic. 2024,Suspendida,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4913&prmIdSesion=79311,No,No
2024,Diciembre,97,04 dic. 2024,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4913&prmIdSesion=79264,https://www.camara.cl/verDoc.aspx?prmID=251370&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=12538&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2024,Noviembre,96,27 nov. 2024,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4913&prmIdSesion=79215,https://www.camara.cl/verDoc.aspx?prmID=247074&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=810&prmTipo=DOCUMENTO_COMISIONSESIONACTA
