Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta
2026,Abril,3,06 abr. 2026,Citada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4909&prmIdSesion=81430,No,No
2026,Marzo,2,23 mar. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4909&prmIdSesion=81404,https://www.camara.cl/verDoc.aspx?prmID=263695&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=264227&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Marzo,1,18 mar. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4909&prmIdSesion=81384,https://www.camara.cl/verDoc.aspx?prmID=263398&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=263706&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Marzo,125,03 mar. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4909&prmIdSesion=81301,https://www.camara.cl/verDoc.aspx?prmID=246965&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=262557&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,124,27 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4909&prmIdSesion=81238,https://www.camara.cl/verDoc.aspx?prmID=260719&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=21640&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,123,20 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4909&prmIdSesion=81193,https://www.camara.cl/verDoc.aspx?prmID=252205&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=13366&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,122,13 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4909&prmIdSesion=81142,https://www.camara.cl/verDoc.aspx?prmID=251915&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=13083&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,121,06 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4909&prmIdSesion=81103,https://www.camara.cl/verDoc.aspx?prmID=255017&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=16114&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Diciembre,120,16 dic. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4909&prmIdSesion=81067,https://www.camara.cl/verDoc.aspx?prmID=260716&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=21637&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Diciembre,119,02 dic. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4909&prmIdSesion=80996,https://www.camara.cl/verDoc.aspx?prmID=251487&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=12649&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Noviembre,118,25 nov. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4909&prmIdSesion=80980,https://www.camara.cl/verDoc.aspx?prmID=259156&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=20137&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Octubre,117,28 oct. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4909&prmIdSesion=80883,https://www.camara.cl/verDoc.aspx?prmID=251894&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=13062&prmTipo=DOCUMENTO_COMISIONSESIONACTA
