Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta
2026,Marzo,2,24 mar. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4889&prmIdSesion=81389,No,No
2026,Marzo,1,17 mar. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4889&prmIdSesion=81371,https://www.camara.cl/verDoc.aspx?prmID=263266&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=263536&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Marzo,116,03 mar. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4889&prmIdSesion=81332,https://www.camara.cl/verDoc.aspx?prmID=251933&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=13097&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,115,27 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4889&prmIdSesion=81231,https://www.camara.cl/verDoc.aspx?prmID=251924&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=13091&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,114,20 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4889&prmIdSesion=81195,https://www.camara.cl/verDoc.aspx?prmID=255449&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=16547&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,113,13 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4889&prmIdSesion=81163,https://www.camara.cl/verDoc.aspx?prmID=251101&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=12271&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,112,06 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4889&prmIdSesion=81120,https://www.camara.cl/verDoc.aspx?prmID=261059&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=21961&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Diciembre,111,16 dic. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4889&prmIdSesion=81071,https://www.camara.cl/verDoc.aspx?prmID=259160&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=20141&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Diciembre,110,09 dic. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4889&prmIdSesion=81052,https://www.camara.cl/verDoc.aspx?prmID=254641&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=15743&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Noviembre,109,25 nov. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4889&prmIdSesion=80961,https://www.camara.cl/verDoc.aspx?prmID=251481&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=12643&prmTipo=DOCUMENTO_COMISIONSESIONACTA
