Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta
2026,Abril,3,07 abr. 2026,Citada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4891&prmIdSesion=81429,No,No
2026,Marzo,2,24 mar. 2026,Suspendida,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4891&prmIdSesion=81391,No,No
2026,Marzo,1,17 mar. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4891&prmIdSesion=81370,https://www.camara.cl/verDoc.aspx?prmID=263261&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=263544&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Marzo,202,03 mar. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4891&prmIdSesion=81351,https://www.camara.cl/verDoc.aspx?prmID=246968&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=707&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,201,27 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4891&prmIdSesion=81230,https://www.camara.cl/verDoc.aspx?prmID=251927&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=13094&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,200,26 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4891&prmIdSesion=81229,https://www.camara.cl/verDoc.aspx?prmID=251926&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=13093&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,200,21 ene. 2026,Suspendida,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4891&prmIdSesion=81215,No,No
2026,Enero,199,20 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4891&prmIdSesion=81202,https://www.camara.cl/verDoc.aspx?prmID=255452&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=16550&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,198,20 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4891&prmIdSesion=81199,https://www.camara.cl/verDoc.aspx?prmID=255451&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=16549&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,197,19 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4891&prmIdSesion=81196,https://www.camara.cl/verDoc.aspx?prmID=255450&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=16548&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,196,14 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4891&prmIdSesion=81173,https://www.camara.cl/verDoc.aspx?prmID=251920&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=13088&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,195,13 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4891&prmIdSesion=81166,https://www.camara.cl/verDoc.aspx?prmID=251100&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=12270&prmTipo=DOCUMENTO_COMISIONSESIONACTA
