Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta
2026,Abril,3,06 abr. 2026,Citada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4904&prmIdSesion=81428,No,No
2026,Marzo,2,23 mar. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4904&prmIdSesion=81401,https://www.camara.cl/verDoc.aspx?prmID=263747&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,No
2026,Marzo,1,18 mar. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4904&prmIdSesion=81383,https://www.camara.cl/verDoc.aspx?prmID=263377&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=263746&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Marzo,109,02 mar. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4904&prmIdSesion=81333,https://www.camara.cl/verDoc.aspx?prmID=251931&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=13096&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,108,26 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4904&prmIdSesion=81227,https://www.camara.cl/verDoc.aspx?prmID=251925&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=13092&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,107,19 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4904&prmIdSesion=81172,https://www.camara.cl/verDoc.aspx?prmID=251919&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=13087&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,106,12 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4904&prmIdSesion=81140,https://www.camara.cl/verDoc.aspx?prmID=250204&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=11389&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2026,Enero,105,05 ene. 2026,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4904&prmIdSesion=81122,https://www.camara.cl/verDoc.aspx?prmID=259841&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=20789&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Diciembre,105,01 dic. 2025,Suspendida,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4904&prmIdSesion=80995,No,No
2025,Noviembre,104,24 nov. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4904&prmIdSesion=80984,https://www.camara.cl/verDoc.aspx?prmID=246456&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=205&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Octubre,103,27 oct. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4904&prmIdSesion=80858,https://www.camara.cl/verDoc.aspx?prmID=250629&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=11805&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Octubre,103,13 oct. 2025,Suspendida,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4904&prmIdSesion=80849,https://www.camara.cl/verDoc.aspx?prmID=251473&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,No
2025,Octubre,102,06 oct. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4904&prmIdSesion=80797,https://www.camara.cl/verDoc.aspx?prmID=258745&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=19747&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Septiembre,101,15 sep. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4904&prmIdSesion=80720,https://www.camara.cl/verDoc.aspx?prmID=249934&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=11115&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Septiembre,101,08 sep. 2025,Suspendida,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4904&prmIdSesion=80664,No,No
2025,Septiembre,100,01 sep. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4904&prmIdSesion=80639,https://www.camara.cl/verDoc.aspx?prmID=250278&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=11458&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Agosto,99,11 ago. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4904&prmIdSesion=80516,https://www.camara.cl/verDoc.aspx?prmID=258264&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=19275&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Agosto,98,04 ago. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4904&prmIdSesion=80489,https://www.camara.cl/verDoc.aspx?prmID=258252&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=19263&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Julio,97,21 jul. 2025,Citada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4904&prmIdSesion=80432,https://www.camara.cl/verDoc.aspx?prmID=258243&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=19254&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Julio,96,14 jul. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4904&prmIdSesion=80349,https://www.camara.cl/verDoc.aspx?prmID=246863&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=607&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Julio,95,07 jul. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4904&prmIdSesion=80306,https://www.camara.cl/verDoc.aspx?prmID=249958&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=11141&prmTipo=DOCUMENTO_COMISIONSESIONACTA
2025,Junio,94,30 jun. 2025,Celebrada,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=4904&prmIdSesion=80278,https://www.camara.cl/verDoc.aspx?prmID=246741&prmTipo=DOCUMENTO_COMISIONSESIONCUENTA,https://www.camara.cl/verDoc.aspx?prmID=485&prmTipo=DOCUMENTO_COMISIONSESIONACTA
