nombre,estado
Agustín Romero Leiva,OK
Alejandra Valdebenito Torres,OK
Alejandro Bernales Maldonado,OK
Alejandro Riquelme Ducci,OK
Alex Nahuelquín Nahuelquín,OK
Ana María Gazmuri Vieira,OK
Andrea Macías Palma,OK
Andrea Parra Sauterel,OK
Andrés Celis Montt,OK
Benjamín Lorca Inzunza,OK
Benjamín Moreno Bascur,OK
Bernardo Salinas Maya,OK
Boris Barrera Moreno,OK
Carlo Arqueros Pizarro,OK
Carlos Bianchi Chelech,OK
Carlos Carvajal Gallardo,OK
Carlos Chandía Alarcón,OK
Carlos Cuadrado Prats,OK
Carolina Cucumides Calderón,OK
Carolina Tello Rojas,OK
Catalina Del Real Mihovilovic,OK
Chiara Barchiesi Chávez,OK
Claudia Mora Vega,OK
Claudia Reyes Larenas,OK
Coca Ericka Ñanco Vásquez,OK
Constanza Hube Portus,OK
Constanza Schonhaut Soto,OK
Consuelo Veloso Ávila,OK
Cristian Contreras Radovic,OK
Cristian Mella Andaur,OK
Cristian Menchaca Pinochet,OK
Cristian Neira Martínez,OK
Cristián Araya Lerdo de Tejada,OK
Cristián Tapia Ramos,OK
Cristóbal Martínez Ramírez,OK
Cristóbal Urruticoechea Ríos,OK
César Valenzuela Maass,OK
Daniel Bustos Leal,OK
Daniel Lilayu Vivanco,OK
Daniel Manouchehri Lobos,OK
Daniel Valenzuela Salazar,OK
Daniela Serrano Salazar,OK
Diego Schalper Sepúlveda,OK
Diego Vergara Rodríguez,OK
Eduardo Cretton Rebolledo,OK
Eduardo Durán Salinas,OK
Eileen Urqueta Rojas,OK
Emilia Nuyado Ancapichún,OK
Emilia Schneider Videla,OK
Enrique Bassaletti Riess,OK
Erich Grohs Marín,OK
Fabián Ossandón Briceño,OK
Felipe Camaño Cárdenas,OK
Felipe Ross Correa,OK
Fernando Ugarte Tejeda,OK
Fernando Zamorano Peralta,OK
Flor Contreras Vivallo,OK
Flor Weisse Novoa,OK
Francesca Muñoz González,OK
Francisco Crisóstomo Llanos,OK
Francisco Orrego Gutiérrez,OK
Félix Bugueño Sotelo,OK
Gael Yeomans Araya,OK
Germán Verdugo Soto,OK
Gloria Naveillán Arriagada,OK
Gonzalo Winter Etcheberry,OK
Guillermo Ramírez Diez,OK
Guillermo Valdés Carmona,OK
Gustavo Gatica Villarroel,OK
Hans Marowski Cuevas,OK
Hotuiti Teao Drago,OK
Héctor Barría Angulo,OK
Héctor Ulloa Aguilera,OK
Ignacio Achurra Díaz,OK
Ignacio Urcullú Clèment-Lund,OK
Irací Hassler Jacob,OK
Jaime Araya Guerrero,OK
Jaime Bassa Mercado,OK
Jaime Coloma Álamos,OK
Jaime Mulet Martínez,OK
Javier Muñoz Riquelme,OK
Javier Olivares Avendaño,OK
Javiera Morales Alvarado,OK
Javiera Rodríguez Pascual,OK
Joanna Pérez Olea,OK
Jorge Alessandri Vergara,OK
Jorge Brito Hasbún,OK
Jorge Díaz Ibarra,OK
Jorge Guzmán Zepeda,OK
José Carlos Meza Pereira,OK
José Kast Adriasola,OK
José Montalva Feuerhake,OK
José Rivas Villalobos,OK
Juan Carlos Beltrán Silva,OK
Juan Irarrázaval Rossel,OK
Juan Santana Castillo,OK
Juan Valenzuela Henríquez,OK
Leandro Kunstmann Collado,OK
Lilian Betancurt Delgado,OK
Lorena Fries Monleón,OK
Lorena Pizarro Sierra,OK
Luis Alberto Cuello Peña y Lillo,OK
Luis Malla Valenzuela,OK
Luis Pardo Sáinz,OK
Luis Sánchez Ossa,OK
Macarena Santelices Cañas,OK
Marcela Hernando Pérez,OK
Marco Antonio Sulantay Olivares,OK
Marcos Barraza Gómez,OK
Marcos Ilabaca Cerda,OK
Mario Olavarría Rodríguez,OK
Marisela Santibáñez Novoa,OK
Marlene Pérez Cartes,OK
María Francisca Bello Campos,OK
Matías Fernández Hartwig,OK
Mauro González Villarroel,OK
Natalia Romero Talguia,OK
Nathalie Castillo Rojas,OK
Nelson Venegas Salazar,OK
Omar Sabat Guzmán,OK
Pamela Jiles Moreno,OK
Patricio Briones Moller,OK
Patricio Pinilla Valencia,OK
Paula Olmos Contreras,OK
Paulina Muñoz Minte,OK
Paz Charpentier Rajcevich,OK
Pier Karlezi Hazleby,OK
Priscilla Castillo Gerli,OK
Raúl Leiva Carvajal,OK
Raúl Soto Mardones,OK
René Alinco Bustos,OK
René Manuel García García,OK
Ricardo Neumann Bertín,OK
Roberto Arroyo Muñoz,OK
Roberto Celedón Fernández,OK
Rodrigo Ramírez Parra,OK
Sara Concha Smith,OK
Sebastián Cristoffanini Jaraquemada,OK
Sebastián Videla Castillo,OK
Sebastián Zamora Soto,OK
Sergio Bobadilla Muñoz,OK
Sofía González Cortés,OK
Stephan Schubert Rubio,OK
Stephanie Jéldrez Ortiz,OK
Tamara Ramírez Ramírez,OK
Tatiana Urrutia Herrera,OK
Tomás Kast Sommerhoff,OK
Valentina Becerra Peña,OK
Valentina Cáceres Monsálvez,OK
Ximena Naranjo Pinto,OK
Ximena Ossandón Irarrázabal,OK
Zandra Parisi Fernández,OK
Álvaro Carter Fernández,OK
Álvaro Jofré Cáceres,OK
Álvaro Ortiz Vera,OK
