nombre,estado
Alberto Undurraga Vicuña,OK
Alejandra Placencia Cabello,OK
Alexis Sepúlveda Soto,OK
Ana María Bravo Castro,OK
Andrés Giordano Salazar,OK
Andrés Jouannet Valderrama,OK
Andrés Longton Herrera,OK
Arturo Barrios Oteíza,OK
Bernardo Berger Fett,OK
Camila Flores Oporto,OK
Camila Musante Müller,OK
Camila Rojas Valderrama,OK
Carla Morales Maldonado,OK
Carmen Hertz Cádiz,OK
Carolina Marzán Pinto,OK
Catalina Pérez Salinas,OK
Christian Matheson Villán,OK
Clara Sagardía Cabezas,OK
Claudia Mix Jiménez,OK
Cosme Mellado Pino,OK
Cristhian Moreira Barros,OK
Cristian Labbé Martínez,OK
Daniel Melo Contreras,OK
Daniella Cicardini Milla,OK
Danisa Astudillo Peiretti,OK
Diego Ibáñez Cotroneo,OK
Eduardo Cornejo Lagos,OK
Enrique Lee Flores,OK
Eric Aedo Jeldres,OK
Erika Olivera De La Fuente,OK
Felipe Donoso Castro,OK
Fernando Bórquez Montecinos,OK
Francisco Pulgar Castillo,OK
Francisco Undurraga Gazitúa,OK
Frank Sauerbaum Muñoz,OK
Félix González Gatica,OK
Gaspar Rivas Sánchez,OK
Gastón Von Mühlenbrock Zamora,OK
Gloria Naveillan Arriagada,OK
Gonzalo De la Carrera Correa,OK
Gustavo Benavente Vergara,OK
Harry Jürgensen Rundshagen,OK
Helia Molina Milman,OK
Henry Leal Bizama,OK
Hernán Palma Pérez,OK
Hugo Rey Martínez,OK
Jaime Naranjo Ortiz,OK
Jaime Sáez Quiroz,OK
Joaquín Lavín León,OK
Johannes Kaiser Barents-Von Hohenhagen,OK
Jorge Durán Espinoza,OK
Jorge Rathgeb Schifferli,OK
Jorge Saffirio Espinoza,OK
José Miguel Castro Bascuñán,OK
Juan Antonio Coloma Álamos,OK
Juan Fuenzalida Cobo,OK
Karen Medina Vásquez,OK
Leonardo Soto Ferrada,OK
Leonidas Romero Sáez,OK
Maite Orsini Pascal,OK
Marcela Riquelme Aliaga,OK
Marcia Raphael Mora,OK
Marta Bravo Salinas,OK
Marta González Olea,OK
María Candelaria Acevedo Sáez,OK
María Luisa Cordero Velásquez,OK
Matías Ramírez Pascal,OK
Mauricio Ojeda Rebolledo,OK
Miguel Mellado Suazo,OK
Miguel Ángel Becker Alvear,NO_ENCONTRADO
Miguel Ángel Calisto Águila,NO_ENCONTRADO
Mónica Arce Castro,NO_ENCONTRADO
Patricio Rosas Barrientos,NO_ENCONTRADO
Paula Labra Besserer,NO_ENCONTRADO
Renzo Trisotti Martínez,NO_ENCONTRADO
Ricardo Cifuentes Lillo,NO_ENCONTRADO
Rubén Darío Oyarzo Figueroa,NO_ENCONTRADO
Sofía Cid Versalovic,NO_ENCONTRADO
Srta. Karol Cariola Oliva,NO_ENCONTRADO
Tomás Hirsch Goldschmidt,NO_ENCONTRADO
Tomás Lagomarsino Guzmán,NO_ENCONTRADO
Viviana Delgado Riquelme,NO_ENCONTRADO
Vlado Mirosevic Verdugo,NO_ENCONTRADO
Víctor Alejandro Pino Fuentes,NO_ENCONTRADO
Yovana Ahumada Palma,NO_ENCONTRADO
